Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4326,1971261
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4144,2041843
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2698,2074857
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1589,1820486
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,884,1909364
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,557,1882709
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,505,1891721
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3760,1862818
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1255,1851974
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1809,1820251
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9738,1952406
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,867,1766124
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3600,1917565
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11772,1706472
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7554,1591315
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2496,1542249
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5994,1565684
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5939,1627210
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3545,1558737
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9474,1776680
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1844,1780148
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3195,1724225
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7794,1825796
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5247,1834690
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1629,1834068
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5901,1836375
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5838,2031033
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2214,2005700
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2848,2023074
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8309,2170671
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12529,2414251
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18126,2313474
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4948,2342411
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4648,2375978
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5599,2404893
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4483,2598574
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10782,2766952
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28073,2368457
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48157,2770813
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6360,2961810
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9180,2782097
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9025,3199767
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5739,3172336
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6549,3044418
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7525,2801027
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9040,2764396
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3298,2639593
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1639,2624651
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3299,2661754
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3423,2773464
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3579,2724743
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3293,2844233
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8335,2826040
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12160,2864639
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8219,2777188
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10035,2718111
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12190,2871469
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3877,2807467
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5427,2780933
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3487,2741373
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5500,2792188
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6319,2674853
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3037,2557206
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5006,2738489
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23156,2566875
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4286,2929005
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7640,2874054
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7299,2919523
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2369,2965640
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9915,3346252
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7837,3578325
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10414,3505794
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11699,3220737
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8053,3012410
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2845,3011561
2018-06-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2087,3007327
2018-06-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5317,3141314
2018-06-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12578,2911564
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18887,3234995
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8887,3579413
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23615,3218398
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12140,3857364
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8319,3910744
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11868,3852556
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7756,3929569
2018-06-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3737,3856732
2018-06-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11877,3743980
2018-06-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7551,3915149
2018-06-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6913,3851224
2018-06-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7832,3864712
2018-06-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10003,3943616
2018-05-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11110,4016381
2018-05-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16493,4013649
2018-05-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22359,3782383
2018-05-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10992,4083923
2018-05-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6879,4080188
2018-05-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11741,4351244
2018-05-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26649,4098930
2018-05-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23527,3931479
2018-05-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36249,4492355
2018-05-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23313,4791703
2018-05-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25049,4765216
2018-05-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43817,4671011
2018-05-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18460,4469249
2018-05-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24700,4441701
2018-05-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43450,4407725
2018-05-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36932,4744548
2018-05-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,165428,4902051
2018-05-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,341175,4016396
2018-05-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10591,3826124
2018-05-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6873,3880467
2018-05-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23157,4135253
2018-05-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4328,4255073
2018-05-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10900,4253879
2018-05-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9967,4377581
2018-05-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36330,4593328
2018-05-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35468,4900665
2018-05-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11140,4882993
2018-05-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11544,5013667
2018-05-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20568,4979659
2018-05-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12739,4867250
2018-05-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,46645,4703849
2018-04-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14344,4785326
2018-04-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25922,4999320
2018-04-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12774,4769379
2018-04-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9083,5021552
2018-04-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26422,4557419
2018-04-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36418,5240859
2018-04-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40527,5238119
2018-04-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50679,5110311
2018-04-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21347,5137399
2018-04-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50847,5602153
2018-04-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27174,5496219
2018-04-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,57690,5382560
2018-04-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,174412,4429011
2018-04-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36505,4473273
2018-04-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,87572,4117540
2018-04-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40247,3698399
2018-04-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18614,3472740
2018-04-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6614,3454495
2018-04-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26856,3137856
2018-04-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53005,2767121
2018-04-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24082,2630744
2018-04-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12449,2664293
2018-04-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3812,2581573
2018-04-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3614,2435831
2018-04-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2778,2639028
2018-04-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2973,2538588
2018-04-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3158,2658187
2018-04-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4954,2526796
2018-04-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7191,2454781
2018-04-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7657,2699422
2018-03-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3226,2629939
2018-03-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3116,2796269
2018-03-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7683,3381524
2018-03-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22302,3236212
2018-03-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7413,3224701
2018-03-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5819,3550542
2018-03-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9514,3533037
2018-03-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10889,3703295
2018-03-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2769,3750932
2018-03-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,67276,3974855
2018-03-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7045,3932016
2018-03-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16536,3673428
2018-03-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35660,3283504
2018-03-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7397,3523671
2018-03-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10048,4054389
2018-03-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16568,4158352
2018-03-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8985,4085780
2018-03-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19478,4988156
2018-03-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63277,4485605
2018-03-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5563,4807585
2018-03-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5263,4466824
2018-03-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17174,4715327
2018-03-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23521,5019940
2018-03-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40880,5805566
2018-03-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,76532,6123744
2018-03-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10150,6457290
2018-03-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14327,6923466
2018-03-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15708,6600646
2018-03-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20206,6239553
2018-03-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13467,6511607
2018-03-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15562,5690576
2018-02-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21637,6037345
2018-02-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18912,5999766
2018-02-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30356,5771812
2018-02-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15989,5839779
2018-02-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20300,6320618
2018-02-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16452,5776626
2018-02-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13401,6140189
2018-02-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19585,7167888
2018-02-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,87245,6601550
2018-02-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16405,6216639
2018-02-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9080,6913176
2018-02-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18082,6615801
2018-02-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14999,6617225
2018-02-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,106803,6123180
2018-02-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23679,5611674
2018-02-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9913,6191215
2018-02-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11951,5347609
2018-02-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16931,5816720
2018-02-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35891,6136112
2018-02-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19028,6088240
2018-02-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,97424,4957145
2018-02-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45098,4804076
2018-02-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,72156,4001070
2018-02-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22906,4692863
2018-02-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52670,5714310
2018-02-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,118968,5610087
2018-02-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55111,5808242
2018-02-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17877,7078435
2018-01-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30363,7493063
2018-01-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39245,8664969
