Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,154053,3118881
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,508621,2943943
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,313490,2721346
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,286947,2610387
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,188519,2579404
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,175858,2659397
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,232447,2429569
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,198269,2472162
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,200585,2587288
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,215097,2443415
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,175042,2916395
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,243328,2436548
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,509511,2278826
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,420625,2406457
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,181405,2416873
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,211492,2289548
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,207452,3320455
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,233013,3811694
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,324882,3655888
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,274045,3882592
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,343483,4503553
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,337953,4052732
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,221642,4974157
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,440056,5624134
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,472456,5644653
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,371103,5607556
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,407101,6016026
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,552925,5974883
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,576062,6225725
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,536123,5845850
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,590719,8223556
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,719114,9683965
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,843042,8914325
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,683018,9800395
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,844947,8849741
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,730634,10450235
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,874128,11493776
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,859771,11043035
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1161750,10616854
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1261130,10801988
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1087870,11250320
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1088320,10752654
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1012770,12373908
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1378140,13224825
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1585460,12965639
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1475590,11583881
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1279610,11643488
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1393610,11814442
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1368320,11844031
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1457510,12517519
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1891780,12581247
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2101400,11974480
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1594190,12630419
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1723470,12870075
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1470880,13447092
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1644330,12357106
