Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1645330,29516135
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1964300,31705181
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2515490,30119070
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2152250,28781485
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1366080,29643012
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2091000,29551533
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3133420,27017803
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2055990,27957890
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3166680,30923495
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3031020,31201478
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4174150,40935177
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4513110,36627662
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7462580,41515597
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8487660,21282264
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1949020,17362427
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,952322,17538260
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1060980,19715245
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,883590,22325460
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,796798,21667374
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1314440,24506487
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1300860,28760736
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1680760,29794189
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2939140,29971785
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6311240,22490677
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3182450,19249705
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1082000,18595360
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1031640,18665123
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1259620,16417951
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2119960,18893578
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,949661,24014080
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1389940,28259915
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,573404,29613735
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,887532,29054906
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,471644,29286618
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1000740,27003072
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,997890,28327802
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1582810,28968648
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2557190,27596104
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2551480,29977972
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1372930,28282440
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1424760,26385580
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2566290,33456748
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1639020,35243612
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3017810,35978640
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2717670,36839556
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2553510,35327372
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1749250,34992012
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1192110,35692332
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1759910,37161540
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2304370,39215176
2018-07-11 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,4709570,37859400
2018-07-10 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,3203820,41218196
2018-07-09 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,4031990,43212672
2018-07-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2562600,46220648
2018-07-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3361820,44898452
2018-07-06 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,6221100,42741328
2018-07-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5397030,46761140
2018-07-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5793190,49894396
2018-07-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7267690,53214524
2018-07-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8373390,52647592
