Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,126897,1133712
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,114640,1484531
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,131984,1124777
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,127339,1154706
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,128992,1209359
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,113901,1385529
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,98360,1139977
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,62085,1123877
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,66247,1181618
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,58167,1271053
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53306,1327544
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,79765,1344016
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,99618,1377789
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,88346,1309478
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,74546,1088252
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55426,1088089
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,46535,1400776
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35509,1435124
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44037,1333112
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,90207,1314424
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,130947,1979157
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,492169,2070709
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,506958,2280415
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,353894,2475581
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20632,2290423
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7456,2375050
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13251,0
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18570,0
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13638,0
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,80888,0
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27372,0
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13302400,0
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5300480,0
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2206290,0
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5622740,0
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,143421,0
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,268036,0
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,938799,0
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,731957,0
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,449645,0
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,641735,0
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,805400,0
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,897518,0
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1134180,0
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,776887,0
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1175980,0
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,866226,0
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,788459,0
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1663340,0
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,110313,0
