Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,80421,3242435
2018-08-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,46773,3466331
2018-08-28 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,125728,2379231
2018-08-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,74695,2514354
2018-08-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,72678,2549909
2018-08-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,74415,2585157
2018-08-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,75070,2517310
2018-08-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,71250,2440997
2018-08-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,74211,2558865
2018-08-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,75460,2608074
2018-08-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,81709,2757690
2018-08-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,80228,2717157
2018-08-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,79998,3027484
2018-08-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,86533,2830296
2018-08-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,82826,2879217
2018-08-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,31897,2794750
2018-08-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7583,2450792
2018-08-13 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,5373,2918761
2018-08-12 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,5174,3557728
2018-08-11 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,102252,3332655
2018-08-10 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,96337,2747165
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,53490,2690005
2018-08-08 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,50495,3249997
2018-08-07 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,74610,2737935
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,53260,2795988
2018-08-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,54308,2757050
2018-08-04 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,56876,3124795
2018-08-03 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,60671,3157315
2018-08-02 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,61668,3316674
