Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3047,792432
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1326,852126
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,706,1250349
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1588,2947760
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,653,929409
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,369,1208609
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,650,833222
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,705,739310
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,616,687533
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,513,655397
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,352,692386
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1769,803848
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,494,676563
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16137,748686
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5003,707241
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,680,720005
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3991,1463090
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1137,715053
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,718,681629
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,307,712633
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,523,789833
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2339,706821
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,261,922286
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,480,824299
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,665,843326
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,346,830904
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4363,871929
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,476,854107
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,256,992407
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,276,882315
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,610,1162681
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2215,1095653
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,370,1045543
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1456,1044858
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2443,1023143
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11035,1176816
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4599,1047458
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5177,1107823
