Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,51,65392
2018-08-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,47,67894
2018-08-28 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,248,52778
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36,52212
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36,53641
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,98,53708
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43,49942
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,215,49928
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,247,52210
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25,50323
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22,55188
2018-08-19 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,144,75082
2018-08-18 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,18,61046
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,84,55819
2018-08-16 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,208,65762
2018-08-15 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,163,56074
2018-08-14 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,1054,79492
2018-08-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,239,79434
2018-08-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,47,88317
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,74,75244
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12,80638
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,11,87808
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3,100405
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8,86206
2018-08-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4,90881
2018-08-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4,91546
2018-08-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,253,101155
2018-08-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,17,102441
2018-08-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,79,103239
2018-07-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,44,102137
2018-07-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,302,121515
2018-07-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,38,123743
2018-07-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,89,121003
2018-07-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,86,115381
2018-07-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,13,121133
2018-07-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,17,122392
2018-07-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,68,105430
2018-07-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,115,122915
2018-07-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1,115903
2018-07-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,120,109775
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,536,132358
2018-07-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,72,133975
2018-07-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,144,155003
2018-07-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1398,113364
2018-07-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,43,99147
2018-07-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,15,97620
2018-07-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,155,98163
2018-07-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,32,97402
2018-07-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,44,99453
2018-07-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,67,95344
2018-07-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,70,98935
2018-07-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,74,106879
2018-07-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,106,126576
2018-07-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3,100656
2018-07-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,188,99782
2018-07-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,60,99920
2018-07-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,136,104765
2018-07-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,14,105436
2018-07-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,174,94498
2018-07-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,335,114830
2018-06-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1348,84736
2018-06-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,330,82204
