Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,103698,1872403
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,108695,1896394
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,103632,1807896
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,119646,1878111
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,148040,1826639
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,163097,1796416
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,116240,1875995
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,137881,1829070
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,113656,1873786
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,168127,1827099
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,132702,1982655
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,133459,1954962
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,145908,2091172
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,145970,1932027
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,127603,1784733
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,149199,1632578
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,133660,1771147
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,144203,1741545
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,132974,1899047
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,113420,1888232
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,103838,2010276
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,142317,1911134
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,159651,1899254
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,121204,1920175
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,136796,1924204
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,138365,1896968
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,105220,1978442
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,87032,1891501
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,123729,2131287
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,184239,1697254
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,88496,1701471
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,116454,1424500
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,135373,1432411
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,126417,1409203
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,134975,1254347
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,79112,1128752
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,181455,1159990
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,167038,1180486
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,187668,1173352
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,155119,1226920
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,96232,1253071
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,107142,1374294
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,151842,1287536
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,136302,1596960
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,122635,1370508
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,106613,1400132
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,128847,1556805
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,146518,1498284
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,149505,1565459
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,123540,1753260
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,120206,1601118
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,160092,1878086
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,179919,1844034
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,148244,1815813
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,148098,1793246
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,125290,1764797
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,146097,1781329
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,139086,1773917
