Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,541,45975
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,316,56960
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,48389
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34,57380
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,493,57711
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,57488
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,461,49258
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,460,54344
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22,68490
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,134,63051
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,202,48744
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,847,74448
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,220,63934
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,104,79130
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,168,81940
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,177,46664
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,561,66040
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,63446
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,120,65947
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,55681
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,618,110302
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,196,78849
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,521,93877
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,820,115346
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,466,123899
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,887,111571
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,243,100619
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,161,98436
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,279,84776
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,233,113513
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,223,114441
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,318,144911
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2039,86647
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,511,106761
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,113,122862
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1423,130253
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,144,98887
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16,115876
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,98,74598
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,176,111492
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,98268
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63,116099
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13369,95016
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,306,92481
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,257,87586
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36,76611
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,140,47181
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,220,53228
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,137,72080
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,151,70572
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,73869
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31,74975
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,76,102275
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,336,90365
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,406,69573
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,197,82022
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,85979
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,109,81582
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4563,93500
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,499,86440
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1509,67338
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,135,111870
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,87,71360
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,609,69140
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,334,92889
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,132,82059
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,153,87502
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,81,68108
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20,76450
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,82,123805
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44,91513
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,84778
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,204,81089
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55,70869
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24,68820
2018-06-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,852,64480
2018-06-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1740,100059
2018-06-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,385,149105
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,105834
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,947,98836
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,707,122449
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,110,138117
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,226,310145
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,173,99652
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,140,121623
2018-06-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,646,229568
2018-06-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,849,94184
2018-06-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,697,97425
2018-06-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,298,123651
2018-06-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,752,96016
2018-06-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,515,98514
2018-05-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4201,114976
2018-05-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3426,120419
2018-05-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6383,200123
2018-05-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,302,228627
2018-05-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,228306
2018-05-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,232441
2018-05-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,235392
2018-05-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,275571
2018-05-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,81,261162
2018-05-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27,257469
2018-05-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,302,269698
2018-05-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,635,298034
2018-05-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,118,289527
2018-05-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,182,267652
2018-05-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,831,213742
2018-05-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1300,213011
2018-05-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,939,161126
2018-05-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22,170145
2018-05-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,106,119027
2018-05-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,428,101146
2018-05-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,61,99819
2018-05-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,98190
2018-05-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,97,87743
2018-05-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1012,183392
2018-05-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,202702
2018-05-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,201727
2018-05-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,194635
2018-05-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,190847
2018-05-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23,180500
2018-05-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,177840
2018-05-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,180924
2018-04-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23,196406
2018-04-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,185750
2018-04-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,177,179032
2018-04-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,169,191360
2018-04-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,495,169077
2018-04-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,327,185007
2018-04-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,367,192661
2018-04-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33,193966
2018-04-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48,192733
2018-04-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15,217501
2018-04-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34,203404
2018-04-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63,168045
2018-04-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,71,190272
2018-04-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,193968
2018-04-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,188527
2018-04-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,204855
2018-04-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,213,185620
2018-04-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,166956
2018-04-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37,156925
2018-04-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,154318
2018-04-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,66,142542
2018-04-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,155178
2018-04-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,142109
2018-04-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,96,139609
2018-04-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,142878
2018-04-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,254,150023
2018-04-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,347,163819
2018-04-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,409,159247
2018-04-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16,171318
2018-04-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40,170465
2018-03-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30,151025
2018-03-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,101,156472
2018-03-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,175413
2018-03-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36,172001
2018-03-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,168142
2018-03-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,207612
2018-03-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,414,175017
2018-03-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35,187905
2018-03-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,57,174729
2018-03-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,704,218820
2018-03-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,183276
2018-03-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,54,212122
2018-03-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37,205584
2018-03-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,83,194001
2018-03-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,102,225043
2018-03-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,77,228084
2018-03-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,201,222486
2018-03-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4214,229657
2018-03-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,258,246387
2018-03-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,83,292278
2018-03-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,155,89135
2018-03-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53930,103677
2018-03-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56252,153227
2018-03-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24173,319373
2018-03-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1671,297674
2018-03-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1058,428495
2018-03-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1166,432834
2018-03-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1611,482623
