Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40144,8877821
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19470,8978734
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,57352,8857669
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22958,7778921
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,59331,7129630
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,58359,9048426
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44856,9151641
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30465,9030122
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39178,9730265
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53410,9813826
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29648,10685316
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17067,10166036
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43302,10712476
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,72962,8525568
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52026,8759755
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,67151,8311785
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,76811,9218384
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52119,9938872
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44357,10459578
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,114684,11022740
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,124238,11335966
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,85957,10522312
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,95650,10625032
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,102932,11523856
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,66008,12803328
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,69272,12798822
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,41689,14385758
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,97046,15562292
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,99881,16289373
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,62831,17262487
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,64594,19254321
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,182415,20870485
2018-07-29 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,226783,17217002
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,110702,17974410
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,130441,18050736
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,133150,18435348
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,143001,18972960
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,225023,18895650
2018-07-23 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,218348,22272530
2018-07-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,552710,23796272
2018-07-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,657182,23336342
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,937197,27029282
2018-07-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,886465,29427946
2018-07-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,850155,31018174
2018-07-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1058120,29761488
2018-07-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,668157,26171234
2018-07-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,632071,27588484
2018-07-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,485349,28005506
2018-07-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,580995,28077960
2018-07-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,833491,30454432
2018-07-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1115880,25827876
2018-07-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1151840,28877542
2018-07-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1014100,29238128
2018-07-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1277470,28074060
2018-07-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1231900,27939988
2018-07-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1236470,28261478
2018-07-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1243810,28884152
