Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,13411
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24,13500
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1177,17694
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,374141,17267
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,391076,19310
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,403142,19128
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37997,20547
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,224521,19395
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,478371,20263
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,68,16139
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,272,19136
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,344652,20724
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,329110,18191
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31,17443
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,17320
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,482,17695
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,491980,18484
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,663286,17455
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22,17267
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25,17585
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,188,18051
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1240,18538
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1207020,19846
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,755009,19153
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48,20807
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,93595,22031
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,121912,19782
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,17946
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,98,18838
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,524349,23596
