Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,9098,3747254
2018-08-29 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,19861,3871869
2018-08-28 00:00:00 +0000 UTC,0.4,0.6,0.3,0.3,127479,4784965
2018-08-27 00:00:00 +0000 UTC,0.3,0.5,0.3,0.4,60714,2880384
2018-08-26 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,10683,2708666
2018-08-25 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,12060,2756325
2018-08-24 00:00:00 +0000 UTC,0.2,0.4,0.2,0.2,122114,2412340
2018-08-23 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1273,2225407
2018-08-22 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2399,2246949
2018-08-21 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1055,2350307
2018-08-20 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1528,2676375
2018-08-19 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,5140,2527143
2018-08-18 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,1633,2613232
2018-08-17 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,8835,2306980
2018-08-16 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3435,2256756
2018-08-15 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3315,2100464
2018-08-14 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3061,2279853
2018-08-13 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,2843,3210274
2018-08-12 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,1899,2185299
2018-08-11 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2995,2143084
2018-08-10 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1263,2337152
2018-08-09 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,4971,2925944
2018-08-08 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,4802,1915715
2018-08-07 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3722,2155826
2018-08-06 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2508,2079429
2018-08-05 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,6050,2474459
2018-08-04 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,4435,2371728
2018-08-03 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,11581,2320831
2018-08-02 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,7886,2405558
2018-08-01 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1311,2534211
2018-07-31 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,9451,2884909
2018-07-30 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,8729,2920866
2018-07-29 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,23070,2920633
2018-07-28 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,1604,2916209
2018-07-27 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,3539,3063406
2018-07-26 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,2221,3299582
2018-07-25 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,6210,3075882
2018-07-24 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,14292,2780319
2018-07-23 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,2790,2973725
2018-07-22 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,2697,2966945
2018-07-21 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,7786,2994019
2018-07-20 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,2835,3192628
2018-07-19 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,2730,3416952
2018-07-18 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,3460,3320509
2018-07-17 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,6896,3136039
2018-07-16 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,10031,3171026
