Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,148856,5621585
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,113932,5539542
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,202435,4950312
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,115026,4841938
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,182434,4893476
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,110465,4529814
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56404,4381834
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,95114,4141348
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,105751,4272090
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,111174,4045424
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,104944,4031736
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,98617,3838134
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,110549,4246069
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,58283,3872555
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39940,3802711
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23281,3773654
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,62651,3662635
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40226,4716951
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31050,4824538
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5106,4712376
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12154,4984822
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14070,4842371
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36270,6091415
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50417,7135272
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65957,6473626
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21402,5970238
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65721,5846847
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,108598,4916363
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3511,5280262
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12421,5090383
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3044,5255209
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15056,5430168
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15534,5235022
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5754,5199539
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15339,4958150
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9645,5013880
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15383,5081958
