Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,304480,6611646
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,168997,6444043
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,410130,6879479
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,171361,6773165
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20266,6892773
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44950,6863347
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,243458,6681930
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,79449,6578605
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,261101,6781702
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,174348,6852444
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,162163,7433734
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38246,7468894
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,78976,7917583
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,114241,7128446
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,96641,7008891
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,161497,6665209
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,145393,7407758
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,109151,7596383
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,99293,8060747
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,138433,8677807
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,343603,8070388
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,152434,8124578
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,142608,9738576
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,92290,10058292
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,152353,10823513
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,138876,11060365
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,180939,11530350
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,483358,11745673
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,165168,11990884
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,123530,11737832
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,183083,13710991
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,189461,13865701
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,130156,14567727
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,140966,14201943
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,400737,14471344
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,185557,15219906
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,452364,15509647
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,557078,15105241
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1195950,13468134
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,243460,14168424
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,134162,12902832
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,324554,14151790
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,399571,15361517
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,367605,16128433
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,356197,15812424
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,268935,14488014
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,205483,14768820
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,241272,15166656
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,354734,14862626
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,717022,16750191
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,602268,14735696
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,469668,15475932
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,614412,18066150
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,413021,19036074
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,566016,19954252
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1616470,24768238
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2018670,24912196
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1028930,23736184
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,951086,24314342
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2013480,22523644
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2484680,20369292
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1207690,16454611
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,765466,13555978
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1022660,12859374
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,290650,12829422
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,529251,14234593
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,735527,14532993
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1390700,17364012
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1942130,12000115
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,736740,13405024
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1122850,14220716
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1710300,16068625
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3885860,21242322
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1315830,21104362
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,434334,22035432
2018-06-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,699261,20813640
2018-06-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,784314,24584994
2018-06-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1383510,20242664
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1023500,17334484
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1349210,21885658
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,419929,21266054
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,598100,24485270
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1156820,23915646
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2593800,27543962
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3496650,28081752
2018-06-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2832080,32227648
2018-06-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3349600,37426580
2018-06-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1266500,40292408
2018-06-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1873920,38919592
2018-06-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1509450,38735768
2018-06-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1415180,40973124
2018-05-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4903950,42495200
2018-05-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,856305,44067908
2018-05-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2433820,43185780
2018-05-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2765080,42431336
2018-05-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2595360,43668964
2018-05-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1559060,46764476
2018-05-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2808730,50204840
