Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,647,269206
2018-08-29 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,594,259164
2018-08-28 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,1253,270599
2018-08-27 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,387,255937
2018-08-26 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,120,272566
2018-08-25 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,1003,246076
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1492,249540
2018-08-23 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,550,376329
2018-08-22 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,168,253123
2018-08-21 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,79,236153
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1089,233788
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1034,245332
2018-08-18 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,579,234907
2018-08-17 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,12,242174
2018-08-16 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,680,253237
2018-08-15 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,359,252486
2018-08-14 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,729,254006
2018-08-13 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,329,242410
2018-08-12 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,1249,298671
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,999,298251
2018-08-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,468,290872
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1241,304800
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1864,308193
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,819,330246
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1349,313063
2018-08-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1381,282042
2018-08-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,279,309108
2018-08-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1149,349966
2018-08-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,487,349937
2018-08-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3647,290906
2018-07-31 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,1892,321786
2018-07-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1505,337591
2018-07-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2178,363338
2018-07-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1115,374527
2018-07-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1241,353148
2018-07-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1782,355623
2018-07-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6732,454549
2018-07-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1324,444865
2018-07-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,882,458694
2018-07-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,710,461522
2018-07-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,949,457861
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2158,495744
2018-07-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1944,522779
2018-07-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2181,578261
2018-07-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3857,430807
2018-07-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1624,465860
2018-07-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2085,481912
2018-07-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2077,484211
2018-07-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2323,415160
2018-07-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2048,401750
2018-07-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,733,457754
2018-07-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,45,415494
2018-07-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,967,412493
2018-07-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2515,462133
2018-07-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,287,488576
2018-07-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,124,440636
2018-07-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1120,684962
2018-07-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,592,437873
2018-07-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,971,459154
2018-07-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1251,445984
2018-07-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,201,463618
2018-06-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2647,455262
2018-06-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2788,431122
2018-06-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2903,435327
2018-06-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2095,408682
2018-06-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2955,502763
2018-06-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,770,501378
2018-06-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1950,542837
2018-06-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3041,516981
2018-06-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,412,564958
2018-06-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,507,524929
2018-06-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1550,557444
2018-06-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,999,557678
2018-06-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,968,569886
2018-06-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1985,549262
2018-06-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1800,572556
2018-06-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4842,475710
2018-06-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2787,464448
2018-06-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1040,508086
2018-06-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2478,494065
2018-06-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2226,580365
2018-06-10 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,1541,654265
2018-06-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,586,651929
2018-06-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1626,656554
2018-06-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,250,648975
2018-06-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8266,579475
2018-06-05 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,2751,745683
2018-06-04 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,508,829307
2018-06-03 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,3559,769223
2018-06-02 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,1591,817194
2018-06-01 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,640,763715
2018-05-31 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,516,747790
2018-05-30 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,1449,735771
2018-05-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1843,682776
2018-05-28 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,799,739989
2018-05-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,218,747613
2018-05-26 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,564,917726
2018-05-25 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,1439,775044
2018-05-24 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,471,792676
2018-05-23 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,981,894525
2018-05-22 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,125,977094
2018-05-21 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,503,904541
2018-05-20 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2566,907220
2018-05-19 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,278,970225
2018-05-18 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2137,869265
2018-05-17 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,7017,807718
2018-05-16 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,3062,818663
2018-05-15 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,777,826287
2018-05-14 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,437,825089
2018-05-13 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,88,874762
2018-05-12 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,983,797679
2018-05-11 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,560,904731
2018-05-10 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,695,938135
2018-05-09 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1311,903263
