Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1902,1873277
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2380,1830399
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1175,1894822
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,360,1971321
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,364,1821687
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1352,2018615
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5289,1760604
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,175,1721164
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3111,1850610
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1169,1732301
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1448,2037846
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2851,1837848
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1211,2098532
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5827,1816042
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,460,1971876
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,680,1949054
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,662,1779249
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,413,1978051
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,411,2135388
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,308,1955325
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2001,2134140
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3144,2215060
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1435,2339207
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1054,2357850
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6496,2281426
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4470,2369742
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1165,2757772
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10241,2843495
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1751,2956309
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1095,3154628
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4367,3440501
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2209,3525400
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2740,3469485
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5199,3533558
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4131,3375156
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21883,3251572
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7556,3578450
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10644,3398102
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1114,3571259
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1372,3451542
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,283,3655531
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2410,3516599
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5143,3627582
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7800,4245605
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8215,3746299
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1489,3536645
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2562,3610707
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7955,3301127
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3442,3281302
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2224,3482781
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,258,3239834
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2796,4042336
