Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38631,3497908
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,57265,3549869
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,95575,3102055
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40531,3072860
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39689,2951185
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38915,2831312
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44207,2773757
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,67905,2678667
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52475,2790754
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33423,2741143
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45896,2933361
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25446,2997185
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47838,3274520
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50471,2934112
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32201,2852730
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,77940,2838032
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36529,3087460
2018-08-13 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,56123,3744695
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18660,3658925
2018-08-11 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,25814,3627932
2018-08-10 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,24216,3968208
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,36719,4027595
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,111637,3943164
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,137447,3932774
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,133861,4560236
2018-08-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,62593,4617932
2018-08-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,44858,4556221
2018-08-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,102277,4803017
2018-08-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,38464,5009901
2018-08-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,56249,5169013
2018-07-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,142824,5637467
2018-07-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,100676,6080237
2018-07-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,105608,6166278
2018-07-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,302158,5621844
2018-07-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,112548,5203868
2018-07-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,196391,5388460
2018-07-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,174832,5863965
2018-07-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,205146,5504938
2018-07-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,109083,5233317
2018-07-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,65905,5034188
2018-07-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,38282,5050469
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,85304,5723845
2018-07-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,262113,6151957
2018-07-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1545100,4943219
2018-07-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,155243,4562599
2018-07-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,74610,4423063
2018-07-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,82993,4179582
2018-07-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,68034,4157172
2018-07-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,60561,4258995
2018-07-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,34028,4646077
2018-07-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,101760,4404495
