Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,15.6,16.7,14.6,14.6,11691,0
2018-08-29 00:00:00 +0000 UTC,15.3,16.3,10.7,15.3,8864,0
2018-08-28 00:00:00 +0000 UTC,15.3,15.3,15.3,15.3,75935,0
2018-08-27 00:00:00 +0000 UTC,10.4,17.2,7.8,15.3,76449,0
2018-08-26 00:00:00 +0000 UTC,10.2,12.0,7.3,11.9,83382,0
2018-08-25 00:00:00 +0000 UTC,10.5,12.0,8.3,11.6,81874,0
2018-08-24 00:00:00 +0000 UTC,11.0,13.8,9.2,9.9,70812,0
2018-08-23 00:00:00 +0000 UTC,7.8,14.4,6.1,11.7,96991,0
2018-08-22 00:00:00 +0000 UTC,7.4,11.9,6.7,8.2,56187,0
2018-08-21 00:00:00 +0000 UTC,9.6,10.6,7.3,7.9,53891,0
2018-08-20 00:00:00 +0000 UTC,8.1,10.1,8.1,9.1,44045,0
2018-08-19 00:00:00 +0000 UTC,9.3,10.2,8.0,8.1,7773,0
2018-08-18 00:00:00 +0000 UTC,8.7,10.8,8.4,9.6,11962,0
2018-08-17 00:00:00 +0000 UTC,8.8,9.1,8.4,8.8,2174,0
2018-08-16 00:00:00 +0000 UTC,8.6,9.2,8.6,8.8,2091,0
2018-08-15 00:00:00 +0000 UTC,8.4,8.7,7.8,8.6,1021,0
2018-08-14 00:00:00 +0000 UTC,8.5,8.6,7.8,8.0,1916,0
2018-08-13 00:00:00 +0000 UTC,7.1,9.0,7.1,8.5,1184,0
2018-08-12 00:00:00 +0000 UTC,9.4,9.4,7.0,7.1,861,0
2018-08-11 00:00:00 +0000 UTC,9.5,9.6,8.4,9.4,23,0
2018-08-10 00:00:00 +0000 UTC,10.5,10.5,9.4,9.5,2843,0
2018-08-09 00:00:00 +0000 UTC,9.8,10.6,9.8,10.6,5036,0
2018-08-08 00:00:00 +0000 UTC,9.9,10.4,9.4,9.9,7017,0
