Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,1.4,1.4,1.3,1.3,762,145008
2018-08-29 00:00:00 +0000 UTC,1.4,1.4,1.3,1.4,203,147530
2018-08-28 00:00:00 +0000 UTC,1.3,1.4,1.3,1.4,271,143658
2018-08-27 00:00:00 +0000 UTC,1.3,1.3,1.3,1.3,30,140358
2018-08-26 00:00:00 +0000 UTC,1.3,1.3,1.3,1.3,32,142813
2018-08-25 00:00:00 +0000 UTC,1.3,1.3,1.3,1.3,301,143876
2018-08-24 00:00:00 +0000 UTC,1.3,1.3,1.3,1.3,66,143901
2018-08-23 00:00:00 +0000 UTC,1.3,1.3,1.3,1.3,343,140693
2018-08-22 00:00:00 +0000 UTC,1.3,1.4,1.3,1.3,561,140540
2018-08-21 00:00:00 +0000 UTC,1.2,1.3,1.2,1.3,7799,129015
2018-08-20 00:00:00 +0000 UTC,1.3,1.3,1.2,1.2,232,136125
2018-08-19 00:00:00 +0000 UTC,1.3,1.3,1.3,1.3,1992,135458
2018-08-18 00:00:00 +0000 UTC,1.4,1.4,1.2,1.3,904,149047
2018-08-17 00:00:00 +0000 UTC,1.3,1.4,1.2,1.4,13948,142392
2018-08-16 00:00:00 +0000 UTC,1.3,1.4,1.3,1.3,16,142637
2018-08-15 00:00:00 +0000 UTC,1.3,1.4,1.2,1.3,37,140598
2018-08-14 00:00:00 +0000 UTC,1.3,1.3,1.1,1.3,4102,135960
2018-08-13 00:00:00 +0000 UTC,1.3,1.4,1.2,1.3,509,137259
2018-08-12 00:00:00 +0000 UTC,1.3,1.3,1.3,1.3,30,139043
2018-08-11 00:00:00 +0000 UTC,1.2,1.3,1.2,1.3,1189,135161
2018-08-10 00:00:00 +0000 UTC,1.4,1.4,1.2,1.2,2800,146128
2018-08-09 00:00:00 +0000 UTC,1.3,1.4,1.3,1.4,1446,142884
2018-08-08 00:00:00 +0000 UTC,1.2,1.3,1.2,1.3,7128,129882
2018-08-07 00:00:00 +0000 UTC,1.2,1.2,1.2,1.2,108,133879
2018-08-06 00:00:00 +0000 UTC,1.2,1.3,1.2,1.2,214,134043
2018-08-05 00:00:00 +0000 UTC,1.2,1.3,1.2,1.2,51,133158
2018-08-04 00:00:00 +0000 UTC,1.3,1.3,1.2,1.2,148,141212
2018-08-03 00:00:00 +0000 UTC,1.3,1.3,1.3,1.3,2701,140156
2018-08-01 00:00:00 +0000 UTC,1.3,1.3,1.3,1.3,2763,141072
2018-07-31 00:00:00 +0000 UTC,1.3,1.4,1.2,1.3,2769,136769
2018-07-30 00:00:00 +0000 UTC,1.3,1.3,1.2,1.3,1105,137533
2018-07-29 00:00:00 +0000 UTC,1.3,1.3,1.3,1.3,85,136342
2018-07-28 00:00:00 +0000 UTC,1.3,1.3,1.3,1.3,296,138240
2018-07-27 00:00:00 +0000 UTC,1.2,1.3,1.2,1.3,4755,130805
2018-07-26 00:00:00 +0000 UTC,1.2,1.2,1.2,1.2,1144,135084
2018-07-25 00:00:00 +0000 UTC,1.2,1.3,1.2,1.2,496,134601
2018-07-24 00:00:00 +0000 UTC,1.3,1.3,1.2,1.2,1164,139445
2018-07-23 00:00:00 +0000 UTC,1.3,1.3,1.3,1.3,69,140939
2018-07-20 00:00:00 +0000 UTC,1.2,1.3,1.2,1.2,5783,134099
2018-07-19 00:00:00 +0000 UTC,1.3,1.3,1.2,1.2,5925,137515
2018-07-18 00:00:00 +0000 UTC,1.3,1.4,1.2,1.3,8606,141385
2018-07-17 00:00:00 +0000 UTC,1.3,1.4,1.3,1.3,11915,144052
2018-07-16 00:00:00 +0000 UTC,1.3,1.4,1.3,1.3,4723,139747
2018-07-15 00:00:00 +0000 UTC,1.3,1.4,1.3,1.3,9659,141964
2018-07-14 00:00:00 +0000 UTC,1.3,1.3,1.3,1.3,6644,141367
2018-07-13 00:00:00 +0000 UTC,1.3,1.4,1.3,1.3,1105,143042
2018-07-12 00:00:00 +0000 UTC,1.3,1.3,1.3,1.3,323,141147
2018-07-11 00:00:00 +0000 UTC,1.3,1.4,1.3,1.3,1750,140621
2018-07-10 00:00:00 +0000 UTC,1.3,1.3,1.3,1.3,1173,137852
2018-07-08 00:00:00 +0000 UTC,1.3,1.4,1.3,1.3,199,142940
2018-07-07 00:00:00 +0000 UTC,1.3,1.4,1.3,1.3,197,140846
2018-07-06 00:00:00 +0000 UTC,1.3,1.3,1.2,1.3,458,142709
2018-07-05 00:00:00 +0000 UTC,1.3,1.3,1.2,1.3,5726,139659
2018-07-04 00:00:00 +0000 UTC,1.3,1.4,1.3,1.3,756,138302
2018-07-03 00:00:00 +0000 UTC,1.3,1.4,1.3,1.3,5918,142731
2018-07-02 00:00:00 +0000 UTC,1.4,1.5,1.3,1.3,779,148352
2018-07-01 00:00:00 +0000 UTC,1.4,1.4,1.3,1.4,450,151709
2018-06-30 00:00:00 +0000 UTC,1.4,1.4,1.3,1.4,3316,149012
2018-06-29 00:00:00 +0000 UTC,1.3,1.4,1.3,1.4,518,139647
2018-06-28 00:00:00 +0000 UTC,1.0,1.4,1.0,1.3,4065,111919
2018-06-27 00:00:00 +0000 UTC,1.3,1.3,1.0,1.0,293,140687
2018-06-26 00:00:00 +0000 UTC,1.3,1.4,1.1,1.3,133,142363
2018-06-25 00:00:00 +0000 UTC,1.3,1.4,1.1,1.3,3922,141121
2018-06-24 00:00:00 +0000 UTC,1.3,1.4,1.2,1.3,3712,141364
2018-06-23 00:00:00 +0000 UTC,1.4,1.4,1.3,1.3,1335,145092
2018-06-22 00:00:00 +0000 UTC,1.3,1.4,1.2,1.4,275,143483
2018-06-21 00:00:00 +0000 UTC,1.4,1.4,1.3,1.3,47,145686
2018-06-20 00:00:00 +0000 UTC,1.3,1.4,1.3,1.4,681,142974
2018-06-19 00:00:00 +0000 UTC,1.3,1.4,1.3,1.3,314,140819
2018-06-18 00:00:00 +0000 UTC,1.4,1.4,1.3,1.3,528,147394
2018-06-17 00:00:00 +0000 UTC,1.3,1.4,1.3,1.4,262,136943
2018-06-16 00:00:00 +0000 UTC,1.3,1.4,1.3,1.3,1894,143555
2018-06-15 00:00:00 +0000 UTC,1.3,1.4,1.3,1.3,712,142891
2018-06-14 00:00:00 +0000 UTC,1.4,1.4,1.3,1.3,1986,154026
2018-06-13 00:00:00 +0000 UTC,1.3,1.4,1.3,1.4,230,141879
2018-06-12 00:00:00 +0000 UTC,1.5,1.5,1.3,1.3,57,158934
2018-06-11 00:00:00 +0000 UTC,1.4,1.5,1.2,1.5,381,149098
2018-06-10 00:00:00 +0000 UTC,1.3,1.4,1.2,1.4,5466,136492
2018-06-09 00:00:00 +0000 UTC,1.2,1.3,1.2,1.3,533,134360
2018-06-08 00:00:00 +0000 UTC,1.2,1.3,1.2,1.2,376,133428
2018-06-07 00:00:00 +0000 UTC,1.3,1.3,1.2,1.2,17,138052
2018-06-06 00:00:00 +0000 UTC,1.3,1.3,1.2,1.3,1070,137621
2018-06-05 00:00:00 +0000 UTC,1.2,1.3,1.1,1.3,398,130797
2018-06-04 00:00:00 +0000 UTC,1.3,1.3,1.2,1.2,78,139694
2018-06-03 00:00:00 +0000 UTC,1.3,1.4,1.3,1.3,262,138833
2018-06-02 00:00:00 +0000 UTC,1.3,1.4,1.3,1.3,1679,141508
2018-06-01 00:00:00 +0000 UTC,1.2,1.3,1.2,1.3,838,135015
2018-05-31 00:00:00 +0000 UTC,1.3,1.3,1.2,1.2,238,137088
2018-05-30 00:00:00 +0000 UTC,1.3,1.4,1.2,1.3,708,139910
2018-05-29 00:00:00 +0000 UTC,1.2,1.4,1.2,1.3,1018,134128
2018-05-28 00:00:00 +0000 UTC,1.3,1.3,1.2,1.2,2520,137856
2018-05-27 00:00:00 +0000 UTC,1.3,1.4,1.2,1.3,135,136813
2018-05-26 00:00:00 +0000 UTC,1.3,1.3,1.3,1.3,2971,140835
2018-05-25 00:00:00 +0000 UTC,1.3,1.3,1.2,1.3,498,141120
2018-05-24 00:00:00 +0000 UTC,1.3,1.4,1.1,1.3,7262,140992
2018-05-23 00:00:00 +0000 UTC,1.2,1.4,1.2,1.3,9386,131902
2018-05-22 00:00:00 +0000 UTC,1.3,1.3,1.2,1.2,411,139688
2018-05-21 00:00:00 +0000 UTC,1.3,1.3,1.2,1.3,577,137246
2018-05-20 00:00:00 +0000 UTC,1.3,1.3,1.2,1.3,946,138167
2018-05-19 00:00:00 +0000 UTC,1.3,1.4,1.2,1.3,549,140644
2018-05-18 00:00:00 +0000 UTC,1.3,1.3,1.2,1.3,828,135500
2018-05-17 00:00:00 +0000 UTC,1.3,1.4,1.2,1.2,905,139428
2018-05-16 00:00:00 +0000 UTC,1.3,1.3,1.2,1.3,1058,138852
2018-05-15 00:00:00 +0000 UTC,1.5,1.5,1.3,1.3,1090,156814
2018-05-14 00:00:00 +0000 UTC,1.3,1.5,1.2,1.4,4,141927
2018-05-13 00:00:00 +0000 UTC,1.4,1.4,1.3,1.3,189,150015
2018-05-12 00:00:00 +0000 UTC,1.4,1.5,1.3,1.4,1627,148292
2018-05-11 00:00:00 +0000 UTC,1.1,1.4,1.1,1.4,48941,123765
2018-05-10 00:00:00 +0000 UTC,1.2,1.3,1.1,1.1,7397,128540
2018-05-09 00:00:00 +0000 UTC,1.1,1.3,1.1,1.2,13822,122040
2018-05-08 00:00:00 +0000 UTC,1.1,1.1,1.1,1.1,11997,123475
2018-05-07 00:00:00 +0000 UTC,1.2,1.2,1.1,1.1,12622,131239
2018-05-06 00:00:00 +0000 UTC,1.2,1.3,1.1,1.2,13410,127762
2018-05-05 00:00:00 +0000 UTC,1.1,1.2,1.1,1.2,0,121826
2018-05-04 00:00:00 +0000 UTC,1.2,1.3,1.1,1.1,3,128103
2018-05-03 00:00:00 +0000 UTC,1.3,1.3,1.2,1.2,1674,139968
2018-05-02 00:00:00 +0000 UTC,1.3,1.4,1.2,1.3,1389,141264
2018-05-01 00:00:00 +0000 UTC,1.2,1.3,1.1,1.3,32879,128044
2018-04-30 00:00:00 +0000 UTC,1.5,1.5,1.1,1.2,2752,158226
2018-04-29 00:00:00 +0000 UTC,1.3,1.5,1.2,1.5,18580,136102
2018-04-28 00:00:00 +0000 UTC,1.2,1.3,1.2,1.3,311,131003
2018-04-27 00:00:00 +0000 UTC,1.3,1.3,1.2,1.2,20491,142343
2018-04-26 00:00:00 +0000 UTC,1.2,1.4,1.2,1.3,11729,133349
2018-04-25 00:00:00 +0000 UTC,1.2,1.3,1.1,1.2,28051,130821
2018-04-24 00:00:00 +0000 UTC,1.3,1.3,1.2,1.2,1117,135505
2018-04-23 00:00:00 +0000 UTC,1.3,1.4,1.2,1.3,551,142671
2018-04-22 00:00:00 +0000 UTC,1.3,1.4,1.3,1.3,3700,144087
2018-04-21 00:00:00 +0000 UTC,1.4,1.4,1.2,1.3,3782,148439
2018-04-20 00:00:00 +0000 UTC,1.3,1.4,1.2,1.4,2286,135377
2018-04-19 00:00:00 +0000 UTC,1.4,1.4,1.2,1.3,697,146581
2018-04-18 00:00:00 +0000 UTC,1.3,1.4,1.3,1.4,5435,135268
2018-04-17 00:00:00 +0000 UTC,1.3,1.4,1.3,1.3,5017,144477
2018-04-16 00:00:00 +0000 UTC,1.3,1.4,1.2,1.3,4500,143450
2018-04-15 00:00:00 +0000 UTC,1.3,1.5,1.3,1.3,1372,143098
2018-04-14 00:00:00 +0000 UTC,1.4,1.4,1.3,1.3,729,146454
2018-04-13 00:00:00 +0000 UTC,1.4,1.4,1.2,1.4,5741,151663
2018-04-12 00:00:00 +0000 UTC,1.4,1.5,1.3,1.4,1598,153062
2018-04-11 00:00:00 +0000 UTC,1.4,1.4,1.3,1.4,458,146673
2018-04-10 00:00:00 +0000 UTC,1.3,1.4,1.3,1.4,3424,143371
2018-04-09 00:00:00 +0000 UTC,1.3,1.4,1.2,1.3,1316,141779
2018-04-08 00:00:00 +0000 UTC,1.4,1.4,1.3,1.3,78,147226
2018-04-07 00:00:00 +0000 UTC,1.4,1.4,1.4,1.4,641,147485
2018-04-06 00:00:00 +0000 UTC,1.4,1.4,1.4,1.4,182,147656
2018-04-05 00:00:00 +0000 UTC,1.4,1.5,1.3,1.4,1093,146492
2018-04-04 00:00:00 +0000 UTC,1.4,1.4,1.3,1.4,785,146630
2018-04-03 00:00:00 +0000 UTC,1.4,1.4,1.3,1.4,1288,146799
2018-04-02 00:00:00 +0000 UTC,1.4,1.6,1.3,1.4,355,149740
2018-04-01 00:00:00 +0000 UTC,1.4,1.4,1.3,1.4,1904,148907
2018-03-31 00:00:00 +0000 UTC,1.5,1.6,1.4,1.4,235,164744
2018-03-30 00:00:00 +0000 UTC,1.3,1.6,1.3,1.5,549,144821
2018-03-29 00:00:00 +0000 UTC,1.4,1.4,1.3,1.4,3085,147716
2018-03-28 00:00:00 +0000 UTC,1.4,1.4,1.3,1.4,105,146479
2018-03-27 00:00:00 +0000 UTC,1.4,1.5,1.3,1.4,63,156071
2018-03-26 00:00:00 +0000 UTC,1.4,1.5,1.2,1.4,3009,151210
2018-03-25 00:00:00 +0000 UTC,1.4,1.4,1.4,1.4,910,151989
2018-03-24 00:00:00 +0000 UTC,1.6,1.6,1.4,1.4,837,171937
2018-03-23 00:00:00 +0000 UTC,1.4,1.6,1.3,1.6,0,148851
2018-03-22 00:00:00 +0000 UTC,1.4,1.4,1.3,1.4,10442,149323
2018-03-21 00:00:00 +0000 UTC,1.3,1.4,1.3,1.4,3008,141983
2018-03-20 00:00:00 +0000 UTC,1.4,1.6,1.2,1.3,20702,154808
2018-03-19 00:00:00 +0000 UTC,1.4,1.6,1.4,1.4,405,155920
2018-03-18 00:00:00 +0000 UTC,1.4,1.5,1.2,1.4,1356,145986
2018-03-17 00:00:00 +0000 UTC,1.3,1.4,1.2,1.4,1368,139806
2018-03-16 00:00:00 +0000 UTC,1.4,1.5,1.3,1.3,5024,156055
2018-03-15 00:00:00 +0000 UTC,1.4,1.5,1.3,1.4,3954,148408
2018-03-14 00:00:00 +0000 UTC,1.4,1.4,1.3,1.4,9083,153398
2018-03-13 00:00:00 +0000 UTC,1.5,1.5,1.4,1.4,3616,160106
2018-03-12 00:00:00 +0000 UTC,1.4,1.5,1.3,1.5,8303,155981
2018-03-11 00:00:00 +0000 UTC,1.4,1.5,1.3,1.4,2301,148708
2018-03-10 00:00:00 +0000 UTC,1.4,1.5,1.3,1.4,15618,156230
2018-03-09 00:00:00 +0000 UTC,1.5,1.5,1.4,1.4,1112,156942
2018-03-08 00:00:00 +0000 UTC,1.4,1.4,1.3,1.4,2020,148170
2018-03-07 00:00:00 +0000 UTC,1.4,1.5,1.3,1.4,1040,154021
2018-03-06 00:00:00 +0000 UTC,1.2,1.5,1.2,1.4,25448,130141
2018-03-05 00:00:00 +0000 UTC,1.4,1.4,1.2,1.2,141,145377
2018-03-04 00:00:00 +0000 UTC,1.3,1.3,1.2,1.3,693,136827
2018-03-03 00:00:00 +0000 UTC,1.3,1.3,1.2,1.3,372,135229
2018-03-02 00:00:00 +0000 UTC,1.3,1.3,1.2,1.2,428,138275
2018-03-01 00:00:00 +0000 UTC,1.3,1.4,1.3,1.3,1154,140840
2018-02-28 00:00:00 +0000 UTC,1.3,1.4,1.3,1.3,855,142230
2018-02-27 00:00:00 +0000 UTC,1.5,1.8,1.3,1.3,357,159231
2018-02-26 00:00:00 +0000 UTC,1.4,1.5,1.4,1.5,5,148033
2018-02-25 00:00:00 +0000 UTC,1.3,1.4,1.3,1.4,76,143350
2018-02-24 00:00:00 +0000 UTC,1.3,1.4,1.3,1.3,17,144725
2018-02-23 00:00:00 +0000 UTC,1.4,1.4,1.3,1.3,86,147195
2018-02-22 00:00:00 +0000 UTC,1.3,1.4,1.2,1.4,82,139752
2018-02-21 00:00:00 +0000 UTC,1.3,1.4,1.2,1.3,4937,135647
2018-02-20 00:00:00 +0000 UTC,1.3,1.3,1.2,1.3,827,142346
2018-02-19 00:00:00 +0000 UTC,1.3,1.4,1.3,1.3,438,136934
2018-02-18 00:00:00 +0000 UTC,1.3,1.4,1.2,1.3,2414,144636
2018-02-17 00:00:00 +0000 UTC,1.4,1.4,1.3,1.3,653,145283
2018-02-16 00:00:00 +0000 UTC,1.4,1.4,1.3,1.4,252,146584
2018-02-15 00:00:00 +0000 UTC,1.4,1.4,1.3,1.4,2110,148929
2018-02-14 00:00:00 +0000 UTC,1.3,1.4,1.3,1.4,669,144069
2018-02-13 00:00:00 +0000 UTC,1.4,1.5,1.3,1.3,297,145730
