Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,254547,11560315
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,235318,11523978
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,286233,11777791
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,253134,11482475
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,261965,12513737
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,224764,12759090
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,218093,12088330
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,256868,12257366
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,253545,12409330
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,265506,11553209
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,313345,12284468
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,266237,13060940
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,270354,11391122
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,391766,12928647
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,240110,12048494
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,319941,12020536
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,276834,12115348
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,372457,13289494
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,277997,12512719
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,411160,14285358
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,332509,14723013
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,399612,14031386
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,609248,14559136
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,415431,14764010
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,583330,16235542
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,314451,16375877
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,324238,16951062
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,324104,16210149
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,504453,17533232
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,388175,17902570
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,326858,19041530
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,608952,21398043
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,386127,22298968
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,448841,22636004
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,396653,22710584
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,542402,24070094
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,488100,24469252
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,976021,23308730
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,458627,21312774
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,523155,21043076
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,534181,20055030
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,448089,20921950
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,343447,20019004
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,399027,19849140
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,435713,20128262
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,435694,18570688
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,564302,17209832
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,369051,17892322
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,750032,20429524
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,405807,19619930
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,649228,18451748
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,384840,18666816
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,470346,18517406
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,342416,19881378
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,427938,20366898
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,415194,20668498
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,577425,21905786
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,481044,20792150
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,618404,22456712
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,412608,22208312
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,607591,23235668
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,346456,21621190
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1158260,22544926
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,261643,22757148
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,206827,19842654
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,317485,19644194
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,228450,19901966
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,218834,24820962
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,474586,24781070
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,851465,24709786
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,719700,26653312
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,431055,27245510
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,507937,27567802
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,746978,26505766
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,264862,26723672
2018-06-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,425924,26738122
2018-06-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,567906,28025488
2018-06-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,489867,25799092
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,564823,27513724
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,473260,30825182
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,481525,28025904
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,587511,33724424
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,502883,37450992
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,765717,38358748
2018-06-07 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,671491,41426868
2018-06-06 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,535339,35165524
2018-06-05 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,661958,24105106
2018-06-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,208471,29002158
2018-06-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,165851,29206630
2018-06-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,370945,30068612
2018-06-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,193292,31380272
2018-05-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,207296,30778590
2018-05-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,356889,31257600
2018-05-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,361212,30983860
2018-05-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,227922,33134956
2018-05-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,243161,33806648
2018-05-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,377876,33059316
2018-05-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,381033,34824588
2018-05-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,397741,31515930
2018-05-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,325517,40553764
2018-05-22 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,409792,43046760
2018-05-21 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,674036,46446492
2018-05-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,543161,44715532
2018-05-19 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,546860,40643664
2018-05-18 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,358430,42022808
2018-05-17 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,482248,41674384
2018-05-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,831950,41601160
2018-05-15 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,549910,41691564
2018-05-14 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,780680,42766948
2018-05-13 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,943035,40753932
2018-05-12 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,538763,44149852
2018-05-11 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,786982,43822344
2018-05-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1086840,46818276
2018-05-09 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,1049730,46397348
2018-05-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1122760,52351976
