Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,6.3,6.3,5.4,5.8,72811,33270226
2018-08-29 00:00:00 +0000 UTC,6.5,6.5,6.2,6.3,48947,34525567
2018-08-28 00:00:00 +0000 UTC,5.6,7.3,5.6,6.5,90919,29821788
2018-08-27 00:00:00 +0000 UTC,5.6,5.7,5.4,5.7,27851,29571764
2018-08-26 00:00:00 +0000 UTC,5.5,5.6,5.3,5.6,11175,29051968
2018-08-25 00:00:00 +0000 UTC,5.6,5.6,5.4,5.5,25139,29675080
2018-08-24 00:00:00 +0000 UTC,5.7,5.7,5.3,5.6,53328,30182882
2018-08-23 00:00:00 +0000 UTC,5.6,5.9,5.4,5.7,27825,29430231
2018-08-22 00:00:00 +0000 UTC,5.6,6.2,5.4,5.4,49451,29564036
2018-08-21 00:00:00 +0000 UTC,5.3,5.8,5.3,5.6,35327,27865188
2018-08-20 00:00:00 +0000 UTC,5.5,5.7,5.3,5.3,17004,29181520
2018-08-19 00:00:00 +0000 UTC,5.2,5.6,5.2,5.6,14644,27801806
2018-08-18 00:00:00 +0000 UTC,5.5,5.5,5.2,5.2,21532,29233053
2018-08-17 00:00:00 +0000 UTC,5.1,5.5,5.1,5.5,23853,27087138
2018-08-16 00:00:00 +0000 UTC,5.2,5.3,5.0,5.1,11029,27301386
2018-08-15 00:00:00 +0000 UTC,5.2,5.8,5.2,5.2,53609,27611367
2018-08-14 00:00:00 +0000 UTC,5.7,5.7,4.8,5.2,64913,30204326
2018-08-13 00:00:00 +0000 UTC,5.2,6.8,5.2,5.7,179330,27637653
2018-08-12 00:00:00 +0000 UTC,5.6,5.7,5.1,5.2,41914,29373893
2018-08-11 00:00:00 +0000 UTC,5.8,6.0,5.5,5.6,41967,30886214
2018-08-10 00:00:00 +0000 UTC,6.1,6.7,5.7,5.7,57586,32295069
2018-08-09 00:00:00 +0000 UTC,5.8,6.4,5.3,6.1,92474,30358254
2018-08-08 00:00:00 +0000 UTC,6.9,7.0,5.5,5.8,163786,36381375
2018-08-07 00:00:00 +0000 UTC,7.9,8.0,6.8,6.8,208663,41503657
2018-08-06 00:00:00 +0000 UTC,8.3,8.6,7.7,7.8,42236,43565513
2018-08-05 00:00:00 +0000 UTC,8.1,8.3,7.8,8.3,15141,42418628
2018-08-04 00:00:00 +0000 UTC,8.6,9.1,8.0,8.1,25973,45435613
2018-08-03 00:00:00 +0000 UTC,8.8,8.9,8.4,8.6,24846,46037177
2018-08-02 00:00:00 +0000 UTC,9.2,9.6,8.8,8.8,114232,48472555
2018-08-01 00:00:00 +0000 UTC,9.6,10.3,8.6,9.2,129545,50725861
2018-07-31 00:00:00 +0000 UTC,10.8,10.9,9.5,9.6,111362,56942731
2018-07-30 00:00:00 +0000 UTC,11.8,12.0,10.4,10.8,153204,62270356
2018-07-29 00:00:00 +0000 UTC,12.3,12.5,11.8,11.8,47393,64881832
2018-07-28 00:00:00 +0000 UTC,12.2,12.3,12.0,12.2,56327,64334740
2018-07-27 00:00:00 +0000 UTC,11.6,12.4,11.2,12.1,193743,61015712
2018-07-26 00:00:00 +0000 UTC,12.1,13.2,11.5,11.6,171614,63271284
2018-07-25 00:00:00 +0000 UTC,12.6,13.1,12.0,12.1,93135,66065376
2018-07-24 00:00:00 +0000 UTC,12.8,14.5,12.0,12.8,363797,67133416
2018-07-23 00:00:00 +0000 UTC,13.3,14.3,12.8,12.8,296856,69871944
2018-07-22 00:00:00 +0000 UTC,11.8,13.9,11.8,13.3,490860,62195100
2018-07-21 00:00:00 +0000 UTC,11.6,13.6,11.4,11.9,74296,61049288
2018-07-20 00:00:00 +0000 UTC,12.6,12.6,11.6,11.7,53516,66283512
2018-07-19 00:00:00 +0000 UTC,12.8,13.5,12.4,12.6,125616,66935384
2018-07-18 00:00:00 +0000 UTC,12.3,13.5,12.3,12.9,195807,64281404
2018-07-17 00:00:00 +0000 UTC,11.1,12.7,11.1,12.3,244272,58385884
2018-07-16 00:00:00 +0000 UTC,10.9,11.4,10.7,11.2,115755,56866116
2018-07-15 00:00:00 +0000 UTC,11.2,11.4,10.5,10.8,144576,58722272
2018-07-14 00:00:00 +0000 UTC,11.2,11.3,11.0,11.2,16850,58760528
2018-07-13 00:00:00 +0000 UTC,11.0,11.3,10.8,11.3,37518,57750680
2018-07-12 00:00:00 +0000 UTC,11.8,11.8,10.6,10.9,35175,61573372
2018-07-11 00:00:00 +0000 UTC,11.3,12.0,11.3,11.8,19249,59303480
2018-07-10 00:00:00 +0000 UTC,12.8,12.9,11.2,11.3,46394,66822104
2018-07-09 00:00:00 +0000 UTC,13.8,14.2,12.8,12.8,64705,71926888
2018-07-08 00:00:00 +0000 UTC,11.9,14.1,11.9,13.8,100575,62473548
2018-07-07 00:00:00 +0000 UTC,13.9,13.9,11.0,12.0,67817,72468168
2018-07-06 00:00:00 +0000 UTC,14.5,14.5,13.6,13.9,46828,75744496
2018-07-05 00:00:00 +0000 UTC,14.3,15.2,14.0,14.5,63915,74828496
2018-07-04 00:00:00 +0000 UTC,14.1,14.8,14.0,14.0,42630,73535584
2018-07-03 00:00:00 +0000 UTC,14.5,14.8,14.0,14.1,38264,75659536
2018-07-02 00:00:00 +0000 UTC,14.0,14.8,13.6,14.6,53375,73143400
2018-07-01 00:00:00 +0000 UTC,14.1,14.2,13.6,14.0,43723,73314616
2018-06-30 00:00:00 +0000 UTC,12.7,14.3,12.7,14.1,63479,66345348
2018-06-29 00:00:00 +0000 UTC,12.9,13.4,12.0,12.8,52150,67105364
2018-06-28 00:00:00 +0000 UTC,13.6,13.6,12.9,13.0,28512,70618520
2018-06-27 00:00:00 +0000 UTC,12.5,13.6,12.1,13.6,71675,64947328
2018-06-26 00:00:00 +0000 UTC,13.0,14.6,12.5,12.6,224688,67653512
