Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,140,7429
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,7478
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16,7642
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,7458
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,61,7882
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,6692
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,249,8350
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,136,7422
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,341,6479
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,7668
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,7199
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,6753
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,7681
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,7365
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,6965
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,6879
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,6258
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16,5615
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,250,7638
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,7861
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20,7259
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16,6974
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,234,10079
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,76,10013
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20,11350
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,425,10121
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,606,17302
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25,17580
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28,17744
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,682,18058
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32,19060
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40,19160
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,73,19615
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30,19502
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45,18531
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47,19955
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,19293
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,96,18416
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,100,17239
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,81,17667
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27,17503
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37,17833
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,165,18412
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,180,20733
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,16816
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63,15893
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,15648
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,51,15577
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,16284
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,16313
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20,16484
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28,16270
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49,17496
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,77,15755
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37,15750
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24,15234
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,252,11333
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,11184
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,11679
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31,10919
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23,10990
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50,7921
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,6840
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16,8170
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20,7087
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,7282
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,118,7851
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,7872
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,8061
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,8944
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,8993
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,8998
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,8965
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,8628
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,12318
2018-06-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33,8911
2018-06-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,8112
2018-06-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22,8418
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,10961
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,9557
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,7897
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,150,14579
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,14816
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,60,15350
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,15723
2018-06-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,15656
2018-06-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,14990
2018-06-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47,15403
2018-06-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16,15255
2018-06-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31,15853
2018-06-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,51,15384
2018-05-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50,15980
2018-05-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22,15743
2018-05-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50,16594
2018-05-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22,19976
2018-05-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,64,17913
2018-05-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,41,19066
2018-05-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27,19728
2018-05-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33,18780
2018-05-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,74,22654
2018-05-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47,26132
2018-05-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,68,24611
2018-05-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29,25170
2018-05-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,108,25150
2018-05-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,51,25555
2018-05-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65,27800
2018-05-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,93,29672
2018-05-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,88,36108
2018-05-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,90,36656
2018-05-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,64,41827
2018-05-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,67,41933
2018-05-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65,42136
2018-05-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,40837
2018-05-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49,43397
2018-05-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,44189
2018-05-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30,52823
2018-05-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,41,47459
2018-05-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,720,45726
2018-05-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,40034
2018-05-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,39911
2018-05-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,35289
2018-05-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,151,44107
2018-04-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28,46440
2018-04-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,46864
2018-04-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,89,44040
2018-04-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,85,45924
2018-04-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,81,72310
2018-04-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,336,79661
2018-04-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,323,72815
2018-04-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,71642
2018-04-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,221,60455
2018-04-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,79008
2018-04-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,217,71134
2018-04-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,124,60719
2018-04-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,58724
2018-04-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,49143
2018-04-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,45391
2018-04-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,43964
2018-04-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,43226
2018-04-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,44379
2018-04-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,37782
2018-04-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,37154
2018-04-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,37146
2018-04-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,44449
2018-04-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,44358
2018-04-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,36187
2018-04-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,39515
2018-04-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,36776
2018-04-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,36107
2018-04-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,46538
2018-03-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,45916
2018-03-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,41281
2018-03-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47,42752
