Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,188,500345
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,169,534746
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,64,509733
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36,492010
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,496241
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1443,506788
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48,456552
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,650,432246
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,138,465989
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,581,419325
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1796,524129
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19,523804
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22,521617
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,498617
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,161,481031
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,474,422053
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2228,463962
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,144,500339
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,253,515531
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,647,563760
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,79,578456
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,93,585745
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,117,586811
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,80,608378
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,176,618642
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,288,666485
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,106,657995
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24,675178
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,107,695259
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,545,677651
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1441,806434
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,293,829926
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,180,882494
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,317,883582
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,767,813468
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1288,846461
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,66,890018
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,190,793748
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,559,759730
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1042,815706
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,222,782093
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,727,818532
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,296,839687
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,289,913395
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,266,794311
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,249,756285
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,160,769593
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,51,764789
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,217,783251
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,88,763777
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,165,783761
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,720,782463
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,728,930849
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,64,919021
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,270,992947
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,942,996210
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,659,972063
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,460,859272
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,170,886450
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,850302
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53,842831
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,471,660569
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1129,784163
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,149,860983
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,161,868382
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52,882117
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,76,884224
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,162,880461
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,323,916347
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,114,1084461
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,805,1118636
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1616,1103899
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25,1108328
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,297,1110642
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,304,1148520
2018-06-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44,1169771
2018-06-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2690,1056039
2018-06-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,58,1110466
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1707,1063811
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1602,1011867
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1134,859366
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,297,992057
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,292,1040185
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,160,1101692
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,158,1097349
2018-06-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,147,1056792
2018-06-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,121,1021561
2018-06-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,522,1049604
2018-06-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,692,1057034
2018-06-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,76,1029358
2018-06-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,339,1069148
2018-05-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,113,1081174
2018-05-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39,1234798
2018-05-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,479,1040933
2018-05-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,636,1227381
2018-05-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,566,1087048
2018-05-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,134,1223415
2018-05-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,174,1226196
2018-05-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,348,1260290
2018-05-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,240,1416428
2018-05-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,395,1501850
2018-05-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,186,1585601
2018-05-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,120,1555842
2018-05-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,368,1660031
2018-05-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,326,1398168
2018-05-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,278,1490623
2018-05-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,416,1635142
2018-05-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2586,1460182
2018-05-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,273,1552237
2018-05-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,780,1543052
2018-05-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,334,1506134
2018-05-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,476,1560624
2018-05-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,859,1718196
2018-05-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3878,1957421
2018-05-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,874,1942814
2018-05-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,906,2322011
2018-05-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2234,2275217
2018-05-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1421,2161230
2018-05-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7144,1942147
2018-05-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3048,2082922
2018-05-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2162,1978808
2018-05-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,759,2097304
2018-04-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,725,2094062
2018-04-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,456,2087962
2018-04-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3227,2055085
2018-04-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2295,2170883
2018-04-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1457,1902365
2018-04-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1503,2103182
2018-04-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6213,1730090
2018-04-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1139,1609286
2018-04-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,541,1413803
2018-04-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3135,1209280
2018-04-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1083,1208982
2018-04-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,658,1136177
2018-04-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,817,1113917
2018-04-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1246,1151547
2018-04-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11343,1152439
2018-04-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3951,1032684
2018-04-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,453,997111
2018-04-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,478,961722
2018-04-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,552,878643
2018-04-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1075,745186
2018-04-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5278,768927
2018-04-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2543,838437
2018-04-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2129,947062
2018-04-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,231,985288
2018-04-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,896,999451
2018-04-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,720,860558
2018-04-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,152,1002244
2018-04-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,119,825603
2018-04-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,160,887435
2018-04-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,566,830174
2018-03-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,299,826188
2018-03-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,180,794108
2018-03-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,274,973371
2018-03-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,545,1050227
2018-03-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1395,1017479
2018-03-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,444,1025900
2018-03-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,852,1208325
2018-03-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,815,1278958
2018-03-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,727,1255097
2018-03-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,423,1292305
2018-03-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,293,1112885
2018-03-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,644,1067508
2018-03-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,245,1198170
2018-03-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,636,1109292
2018-03-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,863,1065687
2018-03-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1697,1262585
2018-03-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,356,1295213
2018-03-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,315,1561364
2018-03-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,294,1585796
2018-03-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,625,1677723
2018-03-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12539,1374616
2018-03-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3097,1501253
2018-03-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,743,1545400
2018-03-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,569,1625963
2018-03-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,384,1835678
2018-03-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1345,2011689
2018-03-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2370,2013366
2018-03-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3412,2180433
2018-03-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,833,2098209
2018-03-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,353,2227470
2018-03-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3532,2115709
2018-02-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1886,1930558
2018-02-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,829,2093781
2018-02-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,476,2025584
2018-02-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,521,2066163
2018-02-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1568,2210047
2018-02-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1870,1962844
2018-02-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,864,2112110
2018-02-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,379,2385872
2018-02-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2169,2367886
2018-02-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3067,2436978
2018-02-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1732,2675529
2018-02-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2793,2673098
2018-02-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1641,2505060
2018-02-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3014,2289938
2018-02-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3423,2192178
2018-02-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1360,2294087
2018-02-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1126,2298533
2018-02-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1426,2230081
2018-02-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2031,2215477
2018-02-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1805,2181049
2018-02-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3575,2162033
2018-02-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8408,2336322
2018-02-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7078,1373272
2018-02-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2498,1655860
2018-02-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2086,1964850
2018-02-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1998,1782169
2018-02-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6589,1983171
2018-02-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2594,2401902
2018-01-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2459,2486525
2018-01-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2892,3065320
2018-01-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3172,3259670
2018-01-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6776,3399907
2018-01-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9038,3382387
2018-01-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16084,3305247
2018-01-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5843,3387265
2018-01-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3648,3195761
2018-01-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4602,3346023
2018-01-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11032,3591560
2018-01-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8321,4321758
2018-01-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6195,3430349
2018-01-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5763,3292714
2018-01-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26058,3548842
2018-01-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9692,2917730
2018-01-16 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,32004,5281700
2018-01-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,56405,5447829
2018-01-14 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,46808,5255603
