Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,59688,1149575
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49148,1461717
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,89189,1389606
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44464,1471257
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,70168,1364849
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55713,1582106
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,58746,1516928
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,60594,1367232
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47842,1670965
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25459,1644986
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45913,1726719
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,97151,1951887
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,87119,2264021
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,78311,2034973
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,101348,1724238
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47843,1889399
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,68273,2044410
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,97562,2172933
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,87876,2095490
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,98098,2274813
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,93631,2612726
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,74664,2772568
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,121787,3389447
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,168737,3959050
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,181263,3417716
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,162895,2498851
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43700,2709511
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55341,2266785
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65671,2059973
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34216,2860858
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,145253,3476166
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,189008,3352889
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,151411,3423388
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,196512,2967003
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,186036,3789439
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,251510,3935724
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,276494,3740088
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,269580,3972255
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,267758,3857709
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,231654,4067090
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,155197,4002217
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,309083,3951428
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1733180,3788923
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1500120,3777724
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,374104,3721473
