Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,8008080,59777510
2018-08-29 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,10524700,64929605
2018-08-28 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,12074300,66137237
2018-08-27 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,19220600,56761816
2018-08-26 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,8858790,61124321
2018-08-25 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,8799340,62856756
2018-08-24 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,16518400,71239396
2018-08-23 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,16015400,66326683
2018-08-22 00:00:00 +0000 UTC,0.4,0.7,0.4,0.4,28987700,63114776
2018-08-21 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,4607060,61945129
2018-08-20 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,6189980,71735968
2018-08-19 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,9532750,68649177
2018-08-18 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,10456500,69407018
2018-08-17 00:00:00 +0000 UTC,0.3,0.5,0.3,0.5,23512700,41635049
2018-08-16 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,5952840,31851605
2018-08-15 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3822460,31238475
2018-08-14 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3955740,35188681
2018-08-13 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,3699150,41297732
2018-08-12 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,4238030,41336276
2018-08-11 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,4658490,46134385
2018-08-10 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,5311630,49936464
2018-08-09 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,5438350,48766857
2018-08-08 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,4419320,56252826
2018-08-07 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,5299770,58177755
2018-08-06 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,5719330,60347490
2018-08-05 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,7115360,56869456
2018-08-04 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,5665650,61071787
2018-08-03 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,6200450,60990294
2018-08-02 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,5649830,67054962
2018-08-01 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,6089320,70967819
2018-07-31 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,6223330,77416749
2018-07-30 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,8139130,83224688
2018-07-29 00:00:00 +0000 UTC,0.5,0.6,0.5,0.6,20455200,80349272
2018-07-28 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,9570210,80950688
2018-07-27 00:00:00 +0000 UTC,0.5,0.6,0.5,0.5,10679100,80296096
2018-07-26 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,8949350,87178912
2018-07-25 00:00:00 +0000 UTC,0.5,0.6,0.5,0.6,10160800,80522888
2018-07-24 00:00:00 +0000 UTC,0.5,0.6,0.5,0.5,11369800,79420408
2018-07-23 00:00:00 +0000 UTC,0.5,0.6,0.5,0.5,12067000,80712968
2018-07-22 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,11289500,83097216
2018-07-21 00:00:00 +0000 UTC,0.5,0.6,0.5,0.6,10479000,80608560
2018-07-20 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,11932300,89568400
2018-07-19 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,12804900,92957752
2018-07-18 00:00:00 +0000 UTC,0.6,0.7,0.6,0.6,17870900,95721120
