Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,153240,36585317
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,417219,33237087
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,178725,32282672
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,247646,28791187
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53574,28879828
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,235497,28881633
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,173593,30187214
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,189625,32388564
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,118057,32560259
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,87614,32616939
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,116530,35141539
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,101733,34757401
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,429962,35625789
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,433964,31781519
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,197074,30307609
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,110495,30130642
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,439826,32006086
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,203172,32240612
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,62649,31152307
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,284798,32955446
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,243433,36341856
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,278911,33645693
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,466228,37032025
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,150028,38611742
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,383599,39565651
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,151529,35884122
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,233518,36426854
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,600312,40165964
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1056750,44671629
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,712492,43062468
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1799240,46146003
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,715366,38550425
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,293449,39037812
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,331827,38690260
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,351199,36645852
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,497917,41371644
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,922080,40040572
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,725405,35973100
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,510426,39414092
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,492384,39569648
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,345698,40177904
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,593948,40918540
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,502107,40739672
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,674454,40195196
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,546909,41059884
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,826139,38092776
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,263428,36557736
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,78809,37207444
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,318548,34841916
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,705452,36081844
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,860134,38177740
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,718462,38781952
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1261370,39874608
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1265060,40738164
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,767763,40737728
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1026590,37299184
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1235320,39998288
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1134040,40348492
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1243460,37921032
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1063980,33395608
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,505624,34642060
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,376428,29150926
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,792217,28920382
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,544402,29776776
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,619761,28775028
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,749621,30814648
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,982694,29821878
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1165580,32007806
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,149333,33039090
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1318280,39496484
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,994079,35950212
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1332340,37046156
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1912540,37613644
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1473260,37116076
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,703120,37695068
2018-06-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1150290,37714292
2018-06-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1521990,38034684
2018-06-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2149820,37544552
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1986670,39805088
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1404330,41941912
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,533011,36555336
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1223080,44891896
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1195320,48842528
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1086320,53977096
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,912799,53355768
2018-06-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,409588,55454780
2018-06-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,487744,54730440
2018-06-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,457190,57301704
2018-06-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,716845,56147924
2018-06-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,452333,55982000
2018-06-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,507915,57559572
2018-05-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,906908,56362444
2018-05-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,802624,57563188
2018-05-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,303532,54515732
2018-05-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,712711,58045868
2018-05-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,430952,56966288
2018-05-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,413266,55271220
2018-05-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,808064,57465804
2018-05-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1840780,54570292
2018-05-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,918422,57224060
2018-05-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,911269,62599256
2018-05-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,815421,67136136
2018-05-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,744280,64351192
2018-05-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1437380,67520744
2018-05-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2324550,71690360
2018-05-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2385520,58089248
2018-05-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,941324,59182048
2018-05-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1991470,61577568
2018-05-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1872760,64739332
2018-05-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,937006,61810940
2018-05-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1541890,58045060
2018-05-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3090520,65817928
2018-05-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3225370,74194800
2018-05-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1708740,78619944
2018-05-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1464250,79469872
2018-05-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1116800,84740176
2018-05-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,873792,89720176
2018-05-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1534020,84753216
2018-05-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2092850,92923288
2018-05-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5407570,87257712
2018-05-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3398850,85244416
2018-05-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4162240,92707808
2018-04-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9078050,106711808
2018-04-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7082700,98067432
2018-04-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4344100,95803312
2018-04-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6195390,109665656
2018-04-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12555400,91601848
2018-04-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5502550,102446568
2018-04-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9888060,100156448
2018-04-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6340100,109013328
2018-04-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3879140,108678432
2018-04-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12090500,126103208
2018-04-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7946930,120891624
2018-04-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6852620,114436912
2018-04-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5420280,100073000
2018-04-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7195040,98468832
2018-04-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3883550,95876696
2018-04-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3896870,85032624
2018-04-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1620370,81264592
2018-04-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5108490,85995664
2018-04-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11858200,62069948
2018-04-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1824590,63638368
2018-04-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1510840,62723096
2018-04-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1580040,68146800
2018-04-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,996244,65063472
2018-04-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1364430,59853912
2018-04-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2845090,62359816
2018-04-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3767200,65999084
2018-04-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1755990,74505008
2018-04-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1834820,69965296
2018-04-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4088900,71454280
2018-04-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2244460,73039400
2018-03-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1732290,70444656
2018-03-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6174140,77650872
2018-03-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3888290,87427784
2018-03-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3643460,87208584
2018-03-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4079740,87884840
2018-03-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10093900,98275464
2018-03-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7219340,75671864
2018-03-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5467440,62377132
2018-03-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1601890,57634316
2018-03-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,909902,58905876
2018-03-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1280430,64218116
2018-03-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1248420,62300392
2018-03-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1764850,63216888
2018-03-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2247500,52738312
2018-03-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1132660,64400268
2018-03-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,639535,64510732
2018-03-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1949540,0
2018-03-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2076860,0
2018-03-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1218110,0
2018-03-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1698800,0
2018-03-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1423180,0
2018-03-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1527100,0
2018-03-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3740640,0
2018-03-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2312840,0
2018-03-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6701350,0
2018-03-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4649070,0
2018-03-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5601910,0
2018-03-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6757530,0
