Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5742440,28255085
2018-08-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5794440,28495698
2018-08-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5862150,27884755
2018-08-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5718880,27419428
2018-08-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5600330,27600915
2018-08-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5648270,27568068
2018-08-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5663420,27173093
2018-08-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5566200,26785805
2018-08-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5479250,27179461
2018-08-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5587260,26754793
2018-08-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5490460,27636613
2018-08-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5725800,27396329
2018-08-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5666730,28122526
2018-08-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5846380,27047291
2018-08-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5580790,26893977
2018-08-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5531120,26694666
2018-08-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5475430,26989813
2018-08-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5567010,27876707
2018-08-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5799630,27863011
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5827850,28044451
2018-08-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5864100,29514338
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6203670,28820643
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6110720,23551673
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5421440,25578427
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5127770,20369183
2018-08-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4148770,19688823
2018-08-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4900840,21562909
2018-08-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6167740,22279572
2018-08-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5063270,23943895
2018-08-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5136500,24735398
2018-07-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4710070,27076099
2018-07-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6054600,27775298
2018-07-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7057560,27566918
2018-07-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6882250,27454116
2018-07-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6090360,29722868
2018-07-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5802160,28799538
2018-07-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7155240,26209642
2018-07-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4700850,24984010
2018-07-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4983770,25323892
2018-07-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4215160,25455606
2018-07-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4442030,25395988
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4256880,25603320
2018-07-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4427190,25840016
2018-07-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4767440,26632716
2018-07-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6205880,24890086
2018-07-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7232150,27542248
2018-07-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8401020,24323488
2018-07-14 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,8536340,28846260
2018-07-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8880480,31310162
2018-07-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9415530,32197622
2018-07-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9698600,33220170
2018-07-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,19467700,39095532
2018-07-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,15484800,35443448
2018-07-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,10759200,31303052
2018-07-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8306630,25799210
2018-07-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7289510,24343190
2018-07-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6772830,23950632
2018-07-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5217850,23222622
2018-07-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6673090,26405908
2018-07-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8438080,24484904
2018-07-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7764690,24376404
2018-06-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7365830,23545822
2018-06-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7246360,25058792
2018-06-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7788480,26604334
2018-06-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7947090,27150728
2018-06-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8552290,28534866
2018-06-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8964470,28003328
2018-06-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8273740,29933874
2018-06-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9389580,29663442
2018-06-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,10642300,35370648
2018-06-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12683300,30559744
2018-06-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7545950,30202692
2018-06-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4502400,29114010
2018-06-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,197894,33175428
2018-06-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,315245,33205762
2018-06-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,128044,32596114
2018-06-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,53555,32490838
2018-06-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1677400,33465600
2018-06-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5210920,38839736
2018-06-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3579000,40592892
2018-06-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4941130,39157104
2018-06-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3451940,43260704
2018-06-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3819400,43858456
2018-06-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3664390,45682800
2018-06-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5944950,45659756
2018-06-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4841850,49913964
2018-06-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8064640,48762300
2018-06-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3886470,51226044
2018-06-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3304010,43138864
2018-06-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3871920,43126448
2018-06-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4804320,42909480
2018-05-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4111370,40782192
2018-05-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3670570,43105384
2018-05-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1388090,40407184
2018-05-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1142440,44970224
2018-05-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1750610,44867960
