Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1327,689919
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1875,735393
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4862,686467
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4913,685648
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6956,695816
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4140,638866
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24112,652314
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50931,646247
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,54669,660571
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,54913,682557
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14627,656474
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,964,653382
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3213,693042
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5314,598893
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7543,640224
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17354,667665
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30568,740333
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44582,817406
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7848,853365
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9977,878849
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38420,956411
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,67628,886777
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,46204,964164
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26202,1026311
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,88006,1003821
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,89381,1033207
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,90116,1035719
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20151,1063109
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14416,1120584
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18494,1123658
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9702,1246599
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14289,1254393
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24134,1285873
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47836,1303691
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52228,1283157
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48657,1421054
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44113,1423447
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,42284,1278161
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,42096,1294369
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33058,1285873
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65975,1215893
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,62815,1271549
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,71468,1252027
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,74348,1258055
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,81914,1041403
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,61047,992476
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11402,1165165
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6466,1123606
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38185,1169271
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55190,1215985
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44633,1218888
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56442,1361696
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,68566,1397058
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,103286,1407538
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,93380,1362902
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47876,1383884
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6237,1449988
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2616,1439058
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20189,1518618
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23124,1450738
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,86558,1486802
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,99803,1447576
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,92373,1396241
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,88945,1523948
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,81785,1465640
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,111748,1677263
2018-06-25 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,100364,1648805
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,99216,1465091
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,126740,1592026
2018-06-22 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,78030,2001372
