Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4817710,85073793
2018-08-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8374070,78796232
2018-08-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3634730,75858595
2018-08-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3372990,72106290
2018-08-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2725460,72095587
2018-08-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2816820,71509995
2018-08-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2776090,69456332
2018-08-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2790890,66992252
2018-08-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3392560,72464426
2018-08-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3417190,70162447
2018-08-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3569490,77650540
2018-08-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5291850,74009197
2018-08-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5356060,81628125
2018-08-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6239520,69695180
2018-08-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5102580,72138635
2018-08-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4240380,67382255
2018-08-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5203270,76581305
2018-08-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5183540,82200048
2018-08-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4638420,84334191
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5169030,84991381
2018-08-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4409330,92329915
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5947320,85684102
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5457340,92377298
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5251750,99293093
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4956250,102001826
2018-08-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6380270,97132066
2018-08-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4972650,100277811
2018-08-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6234460,105601473
2018-08-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5837000,111803899
2018-08-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6341940,116982401
2018-07-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7081660,131419399
2018-07-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9174010,141400497
2018-07-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8569080,139052384
2018-07-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7894200,133876232
2018-07-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8510840,132749448
2018-07-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9328030,144480576
2018-07-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9470790,135454608
2018-07-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,10963300,139206752
2018-07-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,10249400,145469792
2018-07-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,15844900,132420752
2018-07-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8913940,126281616
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,13356100,123103888
2018-07-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7585710,121427864
2018-07-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,11043700,130990456
2018-07-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,18475100,108163528
2018-07-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5968150,100047408
2018-07-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5338540,98251976
2018-07-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4451190,99293088
2018-07-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5428020,97964760
2018-07-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6812280,100206184
2018-07-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7010900,97263688
2018-07-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,10161600,109230472
2018-07-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,10569700,104506728
2018-07-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7273630,107218400
2018-07-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6271400,105914120
2018-07-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,11469900,110344672
2018-07-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,15785300,118097864
2018-07-04 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,58760600,162648016
2018-07-03 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,50260000,97939560
2018-07-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5319610,91588512
2018-07-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4109120,91219072
2018-06-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4401630,88143208
2018-06-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4427870,90129656
2018-06-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4500820,98150184
2018-06-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6017820,97254104
2018-06-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5499440,103070304
2018-06-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5767600,101095192
2018-06-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7802340,99604208
2018-06-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6029770,100286544
2018-06-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8185760,103917952
2018-06-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7017400,110800712
2018-06-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6695440,108735944
2018-06-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7899280,113207872
2018-06-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9788150,118207728
2018-06-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8769400,105778704
2018-06-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5330020,102760680
2018-06-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5611640,105882472
2018-06-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7396080,104642088
2018-06-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9090700,100473736
2018-06-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7092850,102709584
2018-06-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6388870,101863744
2018-06-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9289030,109941192
2018-06-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5930570,109431144
2018-06-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5877030,111344728
2018-06-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6443320,111064440
2018-06-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6702560,104037792
2018-06-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4280230,102019584
2018-06-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3772270,110235856
2018-06-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4291860,111132112
2018-06-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4242640,107077992
