Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,4499,1301797
2018-08-29 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,6491,1396390
2018-08-28 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,13314,1216545
2018-08-27 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,10102,1272704
2018-08-26 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,5096,1294300
2018-08-25 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,5362,1380812
2018-08-24 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,12380,1474951
2018-08-23 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,5271,1439137
2018-08-22 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,5522,1502949
2018-08-21 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,5001,1501330
2018-08-20 00:00:00 +0000 UTC,0.4,0.5,0.4,0.4,6128,1527451
2018-08-19 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,7727,1527976
2018-08-18 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,5678,1439230
2018-08-17 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,4038,1397894
2018-08-16 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,4488,1372587
2018-08-15 00:00:00 +0000 UTC,0.4,0.5,0.4,0.4,10477,1332730
2018-08-14 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,5213,1402838
2018-08-13 00:00:00 +0000 UTC,0.4,0.5,0.4,0.4,13454,1491916
2018-08-12 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,3597,1554547
2018-08-11 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,4310,1493433
2018-08-10 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,5298,1652042
2018-08-09 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,8701,1651502
2018-08-08 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,10859,1575408
2018-08-07 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,4787,1584438
2018-08-06 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,6925,1684205
