Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,99,479359
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,618,423463
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,954,478024
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,590,475952
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,104,428036
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44,419379
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,413,428284
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,311,375482
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2031,519541
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1560,502705
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1552,431041
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2856,528205
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1095,573578
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,303,519981
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1379,513848
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,639,498895
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3099,489332
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,336,505582
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,387,491235
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,272,492165
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,855,504473
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,663,498821
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,309,534843
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2516,577578
