Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,91814,1791800
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,87658,1807786
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,99088,1860464
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,95495,1717586
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,140710,1775965
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,130858,1741008
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,109762,1636291
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,87475,1645347
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,76846,1926555
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,106092,1769476
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,54446,1709271
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,80204,1748010
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,90449,1899091
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,82968,1584634
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,74842,1870118
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,69372,1359819
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,64995,1351483
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63538,1430556
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,59985,1615654
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,75881,1653458
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,74628,1930288
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,91008,1854884
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,58833,1917548
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,79734,2274508
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,103944,2206909
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,81874,2469680
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65231,2640742
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,92885,2635457
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,100660,2584822
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,92023,2938372
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45779,3119595
2018-07-30 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,11406,3134810
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1378,3445891
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1481,3659231
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1078,3551520
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,438,3651948
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1343,3604551
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,434,3683748
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1800,3488902
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,522,3504453
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,570,3399699
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,797,4169011
2018-07-19 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,666,3981355
2018-07-18 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,2304,4321485
2018-07-17 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,5875,4320105
2018-07-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,13620,4502523
2018-07-15 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,9430,4178780
2018-07-14 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,629,3984449
2018-07-13 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,1603,3929584
2018-07-12 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,3866,4525442
2018-07-11 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,1455,4261548
2018-07-10 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,3973,5071379
2018-07-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,75,5734805
2018-07-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,929,5106897
2018-07-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,630,5644390
2018-07-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2897,6258573
2018-07-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5063,6817564
2018-07-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,13350,6175630
2018-07-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,23374,5931856
2018-07-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5852,5137440
2018-07-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1830,5233087
2018-06-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1828,4416669
2018-06-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,471,4081188
2018-06-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1106,4194006
2018-06-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1582,5015543
2018-06-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,14147,5117500
2018-06-25 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,40243,3719951
2018-06-24 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,1242,3983302
2018-06-23 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,328,4004338
2018-06-22 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,4296,4390724
2018-06-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1575,4692465
2018-06-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,219,4402471
2018-06-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1003,4394458
2018-06-18 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,2033,3950923
2018-06-17 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,2416,4168062
2018-06-16 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,2538,4180058
2018-06-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,672,3978308
2018-06-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3298,3907696
2018-06-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2070,4332211
2018-06-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2280,4918815
2018-06-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2524,4391920
2018-06-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4636,5361122
2018-06-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1496,5940501
2018-06-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,642,6082297
2018-06-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2065,6259814
2018-06-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3244,6060047
2018-06-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1470,5580417
2018-06-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2893,5803839
2018-06-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5396,6490850
2018-06-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1868,6840539
2018-06-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4528,6238337
2018-05-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7034,6339725
2018-05-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,76029,6680558
2018-05-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,491,5506104
2018-05-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1848,6905565
2018-05-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4393,6640766
2018-05-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,31177,7304814
2018-05-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,799,7310464
2018-05-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2934,6876042
2018-05-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2135,8098408
2018-05-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1436,8752018
2018-05-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2352,9083586
2018-05-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5653,9252592
2018-05-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1989,9346527
2018-05-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3265,9356705
2018-05-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2100,10204581
2018-05-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4614,10104578
2018-05-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1648,10062527
2018-05-14 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,12527,11062641
2018-05-13 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,5509,10324566
2018-05-12 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,5528,11166088
2018-05-11 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,7652,11879519
2018-05-10 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,29558,12436688
2018-05-09 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,61702,14157625
2018-05-08 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,56274,9898884
2018-05-07 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,9365,12027999
2018-05-06 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,10893,10646526
2018-05-05 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,9250,11001249
2018-05-04 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,16566,12830205
2018-05-03 00:00:00 +0000 UTC,0.2,0.3,0.1,0.2,264289,13539031
2018-05-02 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,92897,6340641
2018-05-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3110,7029369
2018-04-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,967,8296094
2018-04-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,41192,7136593
2018-04-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,16668,7425327
2018-04-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2039,7531032
2018-04-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8263,6656209
2018-04-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2344,7746433
2018-04-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,11542,7322716
2018-04-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3348,6362989
2018-04-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,16331,7862494
2018-04-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9378,8259934
2018-04-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,59538,5543767
2018-04-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,965,5302338
2018-04-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,10184,6237621
2018-04-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,13890,6038261
2018-04-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,57947,4902326
2018-04-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,595,4902134
2018-04-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3570,4614894
2018-04-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1327,5404597
2018-04-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1874,4562968
2018-04-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1847,4229324
2018-04-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2236,4233762
