Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6424,664071
2018-08-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,39363,671538
2018-08-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,54594,675786
2018-08-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,35570,651348
2018-08-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,16781,635516
2018-08-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12522,661012
2018-08-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,33768,588101
2018-08-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2020,605966
2018-08-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2624,584845
2018-08-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4447,580970
2018-08-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2315,648599
2018-08-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3102,619310
2018-08-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8901,703942
2018-08-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1661,697458
2018-08-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4361,722319
2018-08-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5839,741332
2018-08-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3645,735821
2018-08-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5167,782705
2018-08-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7729,765680
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9221,763427
2018-08-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7792,814612
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6005,771901
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9226,817225
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,23179,834705
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6281,815829
2018-08-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1557,816610
2018-08-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2073,877457
2018-08-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6296,913524
2018-08-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7058,934116
2018-08-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,11185,943474
2018-07-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,13884,946239
2018-07-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3208,939927
2018-07-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4379,951095
2018-07-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1813,972480
2018-07-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4098,913737
2018-07-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7483,961725
2018-07-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4986,981162
2018-07-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4385,950135
2018-07-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1309,900527
2018-07-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2320,897793
2018-07-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4449,891034
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5095,904387
2018-07-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6585,893673
2018-07-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,13542,947969
2018-07-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9755,912561
2018-07-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5165,884453
2018-07-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4279,872697
2018-07-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2239,898708
2018-07-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4029,900508
2018-07-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4734,888641
2018-07-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9858,884689
2018-07-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3988,1007394
2018-07-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,14358,996715
2018-07-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,11420,937649
2018-07-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5659,883801
2018-07-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7805,792809
2018-07-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2821,794178
