Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2559490,0
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2631940,0
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3295230,0
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2690990,0
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,940381,0
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2159720,0
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,713976,0
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2447020,0
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1915360,0
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2466290,0
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2714530,0
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2967030,0
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3379740,0
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3189490,0
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2345070,0
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2350950,0
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2920790,0
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3786810,0
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4051870,0
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3855300,0
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4555950,0
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5149570,0
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2016210,0
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7059420,0
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4183500,0
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7182520,0
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6185630,0
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5041250,0
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2056930,0
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2069530,0
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3578940,0
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3493720,0
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3548680,0
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3276200,0
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3721990,0
