Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,94,313264
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,313585
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,298973
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,298753
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,96,264924
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53,297838
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,632,290839
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,266458
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,288331
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,279187
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,305287
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,73,251194
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63,310211
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,271628
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,295353
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27,291687
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,320,278473
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,381,301869
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,294432
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,241,273743
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,534,290684
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,61,295693
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,112,316563
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25,272141
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,512,313434
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,616,273650
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,329915
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,642,335200
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45,338335
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,522,324060
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,208,363425
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,386802
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,41,386781
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,102,384541
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,92,374096
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,384531
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,418,411122
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,606,342950
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,285,340002
