Date,Open,High,Low,Close,Volume,MarketCap
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,231,1632758
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,877,1260690
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,75,1294045
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,534,1456638
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8159,1442742
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5791,1215526
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14249,830046
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9146,873935
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10241,1449831
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9901,1710771
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13883,1130659
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6701,1942453
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,1210795
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,1650153
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9696,1607401
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12979,1159003
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13908,1480788
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12087,1564798
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18783,1832392
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19465,800174
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20140,1617925
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19227,1659760
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17689,1734940
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18832,1858288
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7396,1881577
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7129,2061713
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6788,2038453
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8666,1255679
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,2946042
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,2445950
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11212,1904737
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17735,2761893
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8385,2474536
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23214,2350653
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26594,2489597
