Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3663,6444069
2018-08-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2615,7823361
2018-08-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4482,7642166
2018-08-27 00:00:00 +0000 UTC,0.1,0.7,0.1,0.1,4881,7376070
2018-08-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2311,7727962
2018-08-25 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,5675,11216678
2018-08-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1578,8843313
2018-08-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1898,8736920
2018-08-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1469,9138201
2018-08-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,386,8194631
2018-08-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3712,7917249
2018-08-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,791,8353562
2018-08-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7003,8403087
2018-08-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5837,9836110
2018-08-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1356,8537897
2018-08-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2405,9615695
2018-08-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8690,8894618
2018-08-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6404,9651278
2018-08-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,722,12226793
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,260,9985083
2018-08-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3743,10647082
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,634,10468183
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2373,10878875
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2304,11156994
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8761,11040475
2018-08-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1503,11273623
2018-08-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8275,11642908
2018-08-03 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,9264,16776588
2018-08-02 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,10340,12624391
2018-08-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5425,12146250
2018-07-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2033,15824570
2018-07-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,44354,14129817
2018-07-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9434,15831311
2018-07-28 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,11263,15562912
2018-07-27 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,46549,13990717
2018-07-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,42626,14475951
2018-07-25 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,44582,17049906
2018-07-24 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,20643,16227704
2018-07-23 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,34503,14799229
2018-07-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,46101,14422595
2018-07-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,23148,13451851
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,28150,13832157
2018-07-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3488,14136447
2018-07-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,14882,14018915
2018-07-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,26598,13461423
2018-07-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9720,13249955
2018-07-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7074,13869442
2018-07-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5027,13466320
2018-07-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,29981,13634936
2018-07-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,29840,14055866
2018-07-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,10812,12739542
2018-07-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,11087,14416584
2018-07-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9730,14994001
2018-07-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6383,14591323
2018-07-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5537,14912641
2018-07-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,19578,15720222
2018-07-05 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,25220,15611373
2018-07-04 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,24462,14480248
2018-07-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,15722,15524671
2018-07-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,14772,15436536
2018-07-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3273,15463979
2018-06-30 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,8137,16186398
2018-06-29 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,12411,20194466
2018-06-28 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,32577,15282334
2018-06-27 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,21836,15736214
2018-06-26 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,42756,19647512
2018-06-25 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,25548,20056496
2018-06-24 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,26668,21821958
2018-06-23 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,113419,27252242
2018-06-22 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,176930,24770342
2018-06-21 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,322757,33517672
2018-06-20 00:00:00 +0000 UTC,0.2,0.3,0.1,0.3,348851,16936998
2018-06-19 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,21546,15306199
2018-06-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,14025,14352894
2018-06-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8548,14188986
2018-06-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4609,13607908
2018-06-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,32397,15809785
2018-06-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,16697,15190383
2018-06-13 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,19945,17111730
