Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2387,3135849
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3240,3878577
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5495,3018024
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3470,2928386
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,807,3010180
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,500,2963692
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6029,2894022
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22632,1932730
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1151,2637234
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2351,2776242
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16645,2808234
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,345,2854740
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,280,2984775
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1475,2787738
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6741,2771241
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40470,3764822
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4135,4208435
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,554,3995566
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,439,3675285
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1094,3759893
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,930,4247259
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2273,4100488
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19177,3061003
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1078,4494516
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1224,3276708
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1304,4358953
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,134,3497745
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1079,4977319
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2532,4994590
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,883,4719150
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4337,5525823
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7617,5421679
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3505,5403409
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2709,3653824
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3120,5361880
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3490,5211139
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2443,5314630
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3079,4408622
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1209,4866302
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3716,4694693
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3378,4250843
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,838,4588202
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1110,4838361
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3594,5224105
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1247,4296780
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4992,4187666
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1140,4198015
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2250,4228818
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4132,4152849
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,694,4621101
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,569,4296919
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2812,3639644
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2935,4424815
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,820,4841069
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1010,4332870
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1307,4311034
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1349,5359912
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4533,4258259
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,555,5696578
