Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,633,223493
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45,229974
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,73,194156
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,204628
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,191648
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,204955
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,546,173396
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24,197525
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,78,182883
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38,185057
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,128,202092
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,229,170352
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,125,172835
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,93,165724
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,146,185794
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,285,199217
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55,177534
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,271,230925
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30,238145
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,225756
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29,231433
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43,239176
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38,244680
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,156,254374
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28,278392
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,95,265040
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,289,304555
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,197,297740
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,94,302675
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,123,354994
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,215,348185
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,66,362744
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,169,325644
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,88,345652
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,169,348599
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45,360630
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,510,338437
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,189,318801
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,167,291972
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,471,291224
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33,280243
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,732,322398
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,66,328475
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,92,315000
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,567,287653
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,302,273663
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,59,273866
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,265579
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,490,256142
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,412,272992
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,137,284225
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,60,290282
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44,283713
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,152,284936
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,302,279152
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,54,313308
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,726,267491
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,925,274961
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1909,305049
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,244,357053
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,771,271985
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,271,264216
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16,256511
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,80,276761
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,137,267488
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,403,341821
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,722,326081
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,148,345193
