Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,699,1780883
2018-08-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2286,1641256
2018-08-28 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,10464,1771024
2018-08-27 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,620,1728239
2018-08-26 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1674,1727049
2018-08-25 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3168,1741233
2018-08-24 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,18105,1864859
2018-08-23 00:00:00 +0000 UTC,0.2,0.4,0.2,0.2,90129,1584769
2018-08-22 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,247,1603487
2018-08-21 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,559,1660585
2018-08-20 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,215,1648033
2018-08-19 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,232,1708791
2018-08-18 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,864,1865818
2018-08-17 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,416,1623524
2018-08-16 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,43,1541020
2018-08-15 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,218,1504326
2018-08-14 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,1287,1610564
2018-08-13 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,980,1726751
2018-08-12 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,428,1679049
2018-08-11 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,523,1849605
2018-08-10 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,953,1944852
2018-08-09 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1244,1949085
2018-08-08 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,307,2130142
2018-08-07 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1209,2127725
2018-08-06 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1020,2261973
2018-08-05 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,858,2203787
2018-08-04 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,2464,2361379
2018-08-03 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,557,2428887
2018-08-02 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,1925,2466939
2018-08-01 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,1262,2640394
2018-07-31 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,669,2669615
2018-07-30 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,4368,2739106
2018-07-29 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,2093,2830206
2018-07-28 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,274,2927638
2018-07-27 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1176,2876981
2018-07-26 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1162,3050383
2018-07-25 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,941,3072903
2018-07-24 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,3241,2765911
2018-07-23 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,651,2701433
2018-07-22 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,979,2541169
2018-07-21 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1830,2630759
2018-07-20 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1245,2720971
2018-07-19 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1303,2645456
2018-07-18 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,6479,2532964
2018-07-17 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,2162,2315322
2018-07-16 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,1856,2258870
2018-07-15 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,92,2232228
2018-07-14 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2226,2221964
2018-07-13 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1010,2155913
2018-07-12 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1599,2256980
2018-07-11 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,11009,2173835
2018-07-10 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,22217,2890960
2018-07-09 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,481,2909537
2018-07-08 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,311,2931767
2018-07-07 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1140,2796672
2018-07-06 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,728,2739193
2018-07-05 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,399,2760821
2018-07-04 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,2840,2763012
2018-07-03 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,784,2897904
2018-07-02 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1345,2798694
2018-07-01 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1068,2954483
