Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,151309,1256347
2018-08-29 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,59980,1324893
2018-08-28 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,18543,1208035
2018-08-27 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,21818,1210880
2018-08-26 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,4918,1158036
2018-08-25 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,6381,1151764
2018-08-24 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,11367,1111905
2018-08-23 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,35516,1179137
2018-08-22 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,230591,1183602
2018-08-21 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,1932,1199814
2018-08-20 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,4974,1085303
2018-08-19 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,34930,1006389
2018-08-18 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,8940,1029609
2018-08-17 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,7344,920957
2018-08-16 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2178,922259
2018-08-15 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1338,879947
2018-08-14 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,5592,1033203
2018-08-13 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4795,1052994
2018-08-12 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,8650,1223374
2018-08-11 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,6285,1158380
2018-08-10 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,5525,1246968
2018-08-09 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,43389,1269439
2018-08-08 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,39646,1389829
2018-08-07 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,8986,1511830
2018-08-06 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,71559,1621178
2018-08-05 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,5611,1610523
2018-08-04 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,10153,1813556
2018-08-03 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,9609,1913765
2018-08-02 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,9861,2011480
2018-08-01 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,14026,2135384
2018-07-31 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,23079,2344601
2018-07-30 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,10417,2377397
2018-07-29 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,12286,2313806
2018-07-28 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,7275,2355188
2018-07-27 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,22296,2164774
2018-07-26 00:00:00 +0000 UTC,0.5,0.6,0.5,0.5,240668,2260801
2018-07-25 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,28758,2333574
2018-07-24 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,276708,2143473
2018-07-23 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,25567,2103226
2018-07-22 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,20739,2128947
2018-07-21 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,5545,2097478
