Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,33675,5070280
2018-08-29 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,12091,5499824
2018-08-28 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,35090,5134634
2018-08-27 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,20050,4770110
2018-08-26 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,6759,4893656
2018-08-25 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,10113,4913127
2018-08-24 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,27418,4967772
2018-08-23 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,34063,4920016
2018-08-22 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,26798,5182844
2018-08-21 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,18873,5002691
2018-08-20 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,36674,5416825
2018-08-19 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,22188,5394803
2018-08-18 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,31146,5829812
2018-08-17 00:00:00 +0000 UTC,0.5,0.6,0.5,0.6,38317,5549456
2018-08-16 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,24226,5334554
2018-08-15 00:00:00 +0000 UTC,0.5,0.6,0.5,0.5,258397,5001458
2018-08-14 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,51271,5555742
2018-08-13 00:00:00 +0000 UTC,0.5,0.6,0.5,0.5,29693,5664333
2018-08-12 00:00:00 +0000 UTC,0.5,0.6,0.5,0.5,14172,5712817
2018-08-11 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,24082,5800225
2018-08-10 00:00:00 +0000 UTC,0.6,0.6,0.5,0.6,42212,6210487
2018-08-09 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,30970,6017490
2018-08-08 00:00:00 +0000 UTC,0.7,0.7,0.6,0.6,53244,7107817
2018-08-07 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,57287,7261074
2018-08-06 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,39681,7664702
2018-08-05 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,33031,7538557
2018-08-04 00:00:00 +0000 UTC,0.8,0.8,0.7,0.7,28922,8000163
2018-08-03 00:00:00 +0000 UTC,0.8,0.8,0.7,0.8,57435,8563083
2018-08-02 00:00:00 +0000 UTC,0.8,0.9,0.8,0.8,90800,8861846
2018-08-01 00:00:00 +0000 UTC,0.9,0.9,0.8,0.8,33954,9184687
2018-07-31 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,89311,9960310
2018-07-30 00:00:00 +0000 UTC,1.0,1.1,0.9,1.0,429088,10305261
2018-07-29 00:00:00 +0000 UTC,1.0,1.2,1.0,1.0,561470,10144421
2018-07-28 00:00:00 +0000 UTC,1.0,1.0,0.9,1.0,83428,10000992
2018-07-27 00:00:00 +0000 UTC,1.0,1.1,0.9,0.9,223996,9973547
2018-07-26 00:00:00 +0000 UTC,1.0,1.0,0.9,1.0,30238,10512595
2018-07-25 00:00:00 +0000 UTC,1.0,1.1,1.0,1.0,58918,10617443
