Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34010,680494
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34741,629965
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14654,609654
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2958,436209
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,325,495509
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,506586
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,376,772469
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,819,567131
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,737,595231
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1122,531815
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1192,599689
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1137,566985
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1390,689802
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,146,711211
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,517,637534
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32172,513245
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27141,721421
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18526,825006
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5828,817113
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20891,851628
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14133,931347
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,54086,914577
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,54286,967667
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56549,1040622
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,59607,1050153
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,62086,1042761
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,61396,1067943
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,61560,1047015
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,61276,1065231
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65301,1106022
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,64249,1171102
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,69102,1226257
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16683,1200470
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3045,1204250
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24507,1199923
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52104,1274366
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38858,1251099
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32600,1370701
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33776,1467098
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33,1177056
2018-07-21 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,2822,779231
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,322,1300321
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1314,1359133
2018-07-18 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,2038,1503646
2018-07-17 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,442,1644650
2018-07-16 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,137,1550908
2018-07-15 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,191,1640045
2018-07-14 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,1632,1773585
2018-07-13 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,718,1989066
2018-07-12 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,11059,1756432
2018-07-11 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,4381,1595729
2018-07-10 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,7119,1482364
2018-07-09 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,2207,1249888
2018-07-08 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,4317,2139460
2018-07-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1042,2244344
2018-07-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7741,2478193
2018-07-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,24054,2490564
2018-07-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,22741,2459042
2018-07-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4961,2516922
2018-07-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4512,2438569
2018-07-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,10564,2477652
2018-06-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,30735,2405016
2018-06-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,36501,2436625
2018-06-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,37132,2587747
2018-06-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,40024,2594224
2018-06-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,34369,2807471
2018-06-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,40767,2821833
2018-06-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,44872,2906814
2018-06-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,46064,2883968
2018-06-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,44748,2961114
2018-06-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,370,2945713
2018-06-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,528,2871422
2018-06-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1542,2683238
2018-06-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1546,2575651
2018-06-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,467,2563192
2018-06-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1340,2983294
2018-06-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2604,3255824
2018-06-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3011,2257836
