Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,9.2,9.3,8.9,9.3,253642,0
2018-08-29 00:00:00 +0000 UTC,9.4,9.6,9.1,9.2,393667,0
2018-08-28 00:00:00 +0000 UTC,9.1,9.6,9.1,9.4,489837,0
2018-08-27 00:00:00 +0000 UTC,8.9,9.1,8.8,9.1,267005,0
2018-08-26 00:00:00 +0000 UTC,9.1,9.1,8.8,8.9,183102,0
2018-08-25 00:00:00 +0000 UTC,9.2,9.2,9.0,9.0,232610,0
2018-08-24 00:00:00 +0000 UTC,8.9,9.2,8.7,9.2,381718,0
2018-08-23 00:00:00 +0000 UTC,9.1,9.2,8.7,9.0,504397,0
2018-08-22 00:00:00 +0000 UTC,9.3,9.8,9.1,9.1,470731,0
2018-08-21 00:00:00 +0000 UTC,8.7,9.6,8.5,9.3,496216,0
2018-08-20 00:00:00 +0000 UTC,8.6,9.5,8.6,8.7,529180,0
2018-08-19 00:00:00 +0000 UTC,8.6,8.7,8.5,8.7,231001,0
2018-08-18 00:00:00 +0000 UTC,8.9,9.0,8.5,8.6,191542,0
2018-08-17 00:00:00 +0000 UTC,8.7,9.0,8.7,8.9,262811,0
2018-08-16 00:00:00 +0000 UTC,8.6,9.1,8.6,8.7,255028,0
2018-08-15 00:00:00 +0000 UTC,8.9,9.3,8.5,8.6,259626,0
2018-08-14 00:00:00 +0000 UTC,9.0,9.0,8.4,8.9,252356,0
2018-08-13 00:00:00 +0000 UTC,9.4,9.6,8.9,9.0,191562,0
2018-08-12 00:00:00 +0000 UTC,10.0,10.0,9.4,9.4,213480,0
2018-08-11 00:00:00 +0000 UTC,9.9,10.2,9.6,10.1,188350,0
2018-08-10 00:00:00 +0000 UTC,10.4,10.5,9.7,9.8,245847,0
2018-08-09 00:00:00 +0000 UTC,10.0,10.8,10.0,10.5,314247,0
2018-08-08 00:00:00 +0000 UTC,11.2,11.2,9.8,10.0,334405,0
2018-08-07 00:00:00 +0000 UTC,10.6,12.8,10.1,11.2,780553,0
2018-08-06 00:00:00 +0000 UTC,8.6,10.6,8.6,10.3,671414,0
2018-08-05 00:00:00 +0000 UTC,8.5,8.9,8.3,8.6,407411,0
2018-08-04 00:00:00 +0000 UTC,10.2,10.2,8.3,8.5,349796,0
2018-08-03 00:00:00 +0000 UTC,10.0,10.5,8.4,10.2,1555370,0
2018-08-02 00:00:00 +0000 UTC,10.3,10.5,9.9,9.9,696405,0
2018-08-01 00:00:00 +0000 UTC,10.6,10.9,10.1,10.3,1395840,0
2018-07-31 00:00:00 +0000 UTC,10.8,11.9,10.5,10.6,392847,0
2018-07-30 00:00:00 +0000 UTC,11.6,11.6,10.7,10.9,332059,0
2018-07-29 00:00:00 +0000 UTC,11.9,12.0,11.6,11.6,333670,0
2018-07-28 00:00:00 +0000 UTC,12.0,12.1,11.8,11.8,263493,0
2018-07-27 00:00:00 +0000 UTC,11.8,12.1,11.6,12.0,319531,0
2018-07-26 00:00:00 +0000 UTC,12.2,12.4,11.7,11.8,1346760,0
2018-07-25 00:00:00 +0000 UTC,12.4,12.7,12.1,12.2,3792540,0
2018-07-24 00:00:00 +0000 UTC,11.5,12.6,11.3,12.6,2122320,0
2018-07-23 00:00:00 +0000 UTC,11.0,11.5,11.0,11.4,3902480,0
2018-07-22 00:00:00 +0000 UTC,10.9,11.3,10.9,11.0,8141500,0
2018-07-21 00:00:00 +0000 UTC,10.9,11.0,10.8,10.9,257894,0
2018-07-20 00:00:00 +0000 UTC,11.1,11.3,10.9,10.9,489028,0
2018-07-19 00:00:00 +0000 UTC,11.1,11.4,11.0,11.1,1743030,0
2018-07-18 00:00:00 +0000 UTC,11.3,11.8,11.0,11.1,508454,0
2018-07-17 00:00:00 +0000 UTC,10.5,11.7,10.2,11.3,943573,0
2018-07-16 00:00:00 +0000 UTC,10.2,10.6,9.9,10.6,984843,0
2018-07-15 00:00:00 +0000 UTC,10.1,10.3,10.1,10.2,189816,0
2018-07-14 00:00:00 +0000 UTC,10.1,10.3,10.1,10.1,223124,0
2018-07-13 00:00:00 +0000 UTC,10.2,10.3,10.0,10.1,224781,0
2018-07-12 00:00:00 +0000 UTC,10.6,10.6,10.1,10.2,1036980,0
2018-07-11 00:00:00 +0000 UTC,10.5,10.8,10.5,10.5,624067,0
2018-07-10 00:00:00 +0000 UTC,11.2,11.2,10.5,10.5,1727980,0
2018-07-09 00:00:00 +0000 UTC,11.4,11.4,11.0,11.2,698781,0
2018-07-08 00:00:00 +0000 UTC,11.3,11.5,11.2,11.3,1318200,0
2018-07-07 00:00:00 +0000 UTC,11.0,11.3,10.9,11.3,262185,0
2018-07-06 00:00:00 +0000 UTC,11.1,11.1,10.9,11.1,279407,0
2018-07-05 00:00:00 +0000 UTC,11.1,11.2,10.9,11.1,265898,0
2018-07-04 00:00:00 +0000 UTC,10.9,11.4,10.9,11.0,294761,0
2018-07-03 00:00:00 +0000 UTC,10.9,11.6,10.8,10.9,224756,0
2018-07-02 00:00:00 +0000 UTC,10.6,11.7,10.4,11.0,4882160,0
2018-07-01 00:00:00 +0000 UTC,11.1,11.2,10.6,10.6,174507,0
2018-06-30 00:00:00 +0000 UTC,11.2,11.6,11.1,11.2,195095,0
2018-06-29 00:00:00 +0000 UTC,10.8,11.3,10.5,11.2,225073,0
2018-06-28 00:00:00 +0000 UTC,11.4,11.6,10.6,10.8,5476430,0
2018-06-27 00:00:00 +0000 UTC,11.3,11.7,11.0,11.4,5034530,0
2018-06-26 00:00:00 +0000 UTC,11.7,12.1,11.3,11.3,8035680,0
2018-06-25 00:00:00 +0000 UTC,12.1,12.6,11.4,12.0,7713530,0
2018-06-24 00:00:00 +0000 UTC,12.3,13.0,11.4,12.1,6393200,0
2018-06-23 00:00:00 +0000 UTC,10.6,12.9,10.2,12.3,8264580,0
2018-06-22 00:00:00 +0000 UTC,11.8,11.8,10.3,10.6,340597,0
2018-06-21 00:00:00 +0000 UTC,12.1,12.3,11.6,11.8,783942,0
2018-06-20 00:00:00 +0000 UTC,12.6,13.1,11.8,12.1,288472,0
2018-06-19 00:00:00 +0000 UTC,13.1,13.2,11.7,12.6,1389900,0
2018-06-18 00:00:00 +0000 UTC,12.9,13.6,12.4,13.1,1382800,0
2018-06-17 00:00:00 +0000 UTC,13.6,13.8,12.9,12.9,193686,0
2018-06-16 00:00:00 +0000 UTC,13.3,14.1,13.3,13.5,1517810,0
