Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,14717,2174760
2018-08-29 00:00:00 +0000 UTC,1.0,1.1,0.9,0.9,21587,2300518
2018-08-28 00:00:00 +0000 UTC,0.9,1.0,0.9,1.0,32883,2135536
2018-08-27 00:00:00 +0000 UTC,1.0,1.0,0.9,0.9,12833,2251775
2018-08-26 00:00:00 +0000 UTC,0.9,1.1,0.9,1.0,12986,2175553
2018-08-25 00:00:00 +0000 UTC,0.8,1.5,0.8,0.9,58053,1979981
2018-08-24 00:00:00 +0000 UTC,0.9,0.9,0.8,0.9,17492,2129469
2018-08-23 00:00:00 +0000 UTC,0.9,0.9,0.8,0.9,9369,2056299
2018-08-22 00:00:00 +0000 UTC,1.1,1.1,0.8,0.9,23654,2454788
2018-08-21 00:00:00 +0000 UTC,1.1,1.1,1.0,1.1,18833,2406635
2018-08-20 00:00:00 +0000 UTC,1.2,1.2,1.0,1.1,27670,2676064
2018-08-19 00:00:00 +0000 UTC,1.2,1.2,1.1,1.2,9449,2765674
2018-08-18 00:00:00 +0000 UTC,1.3,1.3,1.1,1.2,14034,2940946
2018-08-17 00:00:00 +0000 UTC,1.1,1.3,1.1,1.3,13643,2612682
2018-08-16 00:00:00 +0000 UTC,1.2,1.2,1.1,1.1,12166,2678780
2018-08-15 00:00:00 +0000 UTC,1.1,1.4,1.1,1.2,19807,2475765
2018-08-14 00:00:00 +0000 UTC,1.3,1.3,1.1,1.1,17781,2825487
2018-08-13 00:00:00 +0000 UTC,1.3,1.4,1.3,1.3,12070,2999480
2018-08-12 00:00:00 +0000 UTC,1.3,1.5,1.3,1.3,24554,2895000
2018-08-11 00:00:00 +0000 UTC,1.3,1.4,1.2,1.3,14206,2869969
2018-08-10 00:00:00 +0000 UTC,1.5,1.5,1.3,1.3,12586,3244212
2018-08-09 00:00:00 +0000 UTC,1.4,1.5,1.2,1.5,25730,2986069
2018-08-08 00:00:00 +0000 UTC,1.6,1.6,1.2,1.3,22684,3485852
2018-08-07 00:00:00 +0000 UTC,1.6,1.7,1.6,1.6,21839,3438014
2018-08-06 00:00:00 +0000 UTC,1.6,1.7,1.6,1.6,12198,3595248
2018-08-05 00:00:00 +0000 UTC,1.6,1.7,1.6,1.6,15579,3545884
2018-08-04 00:00:00 +0000 UTC,1.8,1.9,1.6,1.6,19046,3950535
