Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2528640,161621248
2018-08-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4607320,164547279
2018-08-28 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3175800,149408037
2018-08-27 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,2965030,142552221
2018-08-26 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,2375520,145045034
2018-08-25 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,1870850,146727288
2018-08-24 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,1868240,142742571
2018-08-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3055440,139817741
2018-08-22 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,2737360,144367021
2018-08-21 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,3614830,135576451
2018-08-20 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,2223410,150106805
2018-08-19 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2418030,147906628
2018-08-18 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,4828870,170661846
2018-08-17 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,7157020,133487766
2018-08-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2605780,133569927
2018-08-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3502380,128100354
2018-08-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3653220,133421615
2018-08-13 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,3755270,156209322
2018-08-12 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2284260,160372511
2018-08-11 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3151430,167865718
2018-08-10 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3536200,185567856
2018-08-09 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4373500,179434892
2018-08-08 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4382650,196731715
2018-08-07 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3501980,210188260
2018-08-06 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3644590,219771380
2018-08-05 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2430510,220489530
2018-08-04 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3891390,217293960
2018-08-03 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4879280,230571875
2018-08-02 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,6676710,247915839
2018-08-01 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,9720730,257581291
2018-07-31 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,19810200,279069076
2018-07-30 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,4806550,291043609
2018-07-29 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,6231410,295019648
2018-07-28 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,10413400,293412960
2018-07-27 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,10672700,291493504
2018-07-26 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,11563200,289074304
2018-07-25 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,5409360,287245024
2018-07-24 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,4997980,284717408
2018-07-23 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,4738160,303698912
2018-07-22 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,4500300,294549664
2018-07-21 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,3964710,287689120
2018-07-20 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,6440830,323137920
2018-07-19 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,9196100,319122560
2018-07-18 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,10610000,316476960
2018-07-17 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,8272880,260867472
2018-07-16 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,6265340,248003568
2018-07-15 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,3178930,240684528
2018-07-14 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,4243200,233659232
2018-07-13 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,3488290,237388000
2018-07-12 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,2714130,251629088
2018-07-11 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,4046700,250949312
2018-07-10 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,3528210,280020640
2018-07-09 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,3462020,294400224
2018-07-08 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,3813010,303211424
2018-07-07 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,4204920,303974304
2018-07-06 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,9811030,291515744
2018-07-05 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,5862240,300601376
2018-07-04 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,5871210,289515840
2018-07-03 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,10568800,316150848
2018-07-02 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,13541700,281229152
2018-07-01 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,8100870,304743040
2018-06-30 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,21233000,259389568
2018-06-29 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,8977810,234042784
2018-06-28 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,6960170,248537184
2018-06-27 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,4836360,246224672
2018-06-26 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,8379990,282543552
2018-06-25 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,8709120,238255792
2018-06-24 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,5652340,259233456
2018-06-23 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,3543870,263340032
2018-06-22 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,5717510,303619648
2018-06-21 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,4282960,310191392
2018-06-20 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,7774320,322761952
2018-06-19 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,6574050,324751200
2018-06-18 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,4700850,318855392
2018-06-17 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,3704050,320774976
2018-06-16 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,5550460,320895488
2018-06-15 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,9432040,330129440
2018-06-14 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,10545000,313861152
2018-06-13 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,10066600,343658176
2018-06-12 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,10173200,380502912
2018-06-11 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,11114700,369436288
2018-06-10 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,13397200,438443584
2018-06-09 00:00:00 +0000 UTC,0.5,0.6,0.5,0.5,7635800,459951712
2018-06-08 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,10786000,477850656
2018-06-07 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,11887100,486181824
2018-06-06 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,13811400,492678496
2018-06-05 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,15753900,491607456
2018-06-04 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,29901000,523625344
2018-06-03 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,22376900,519110496
2018-06-02 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,26198600,518566944
2018-06-01 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,34103700,511396192
2018-05-31 00:00:00 +0000 UTC,0.6,0.7,0.6,0.6,68145600,544272960
2018-05-30 00:00:00 +0000 UTC,0.5,0.7,0.5,0.6,64120000,444072512
2018-05-29 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,25683000,390768832
2018-05-28 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,21421600,402134784
2018-05-27 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,10850900,387650976
2018-05-26 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,9468260,393704384
2018-05-25 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,21529900,400020992
2018-05-24 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,13657300,395103808
2018-05-23 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,17774800,422133984
2018-05-22 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,13374300,443408064
2018-05-21 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,7983570,444799200
