Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1444300,6723734
2018-08-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1529900,6968310
2018-08-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1375060,6639189
2018-08-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1619080,6666237
2018-08-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1453300,6485151
2018-08-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1507990,7266789
2018-08-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1589570,6861257
2018-08-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1239020,6593460
2018-08-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1343110,6661445
2018-08-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1228910,6461514
2018-08-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1270390,6919346
2018-08-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1437900,6786089
2018-08-18 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,1450160,7960073
2018-08-17 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,1514990,6819720
2018-08-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1415500,7234360
2018-08-15 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,1499640,7487310
2018-08-14 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,1419240,9020872
2018-08-13 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,896710,9411031
2018-08-12 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1007860,9583740
2018-08-11 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1393750,10170651
2018-08-10 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1231670,12519749
2018-08-09 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,1377990,11111895
2018-08-08 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,1359630,13181644
2018-08-07 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1192640,15521020
2018-08-06 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,778014,16253910
2018-08-05 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,780675,17109169
2018-08-04 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,836010,18072079
2018-08-03 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,855480,18289317
2018-08-02 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,934907,18694717
2018-08-01 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,945318,18575843
2018-07-31 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,811786,24506765
2018-07-30 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,4913140,25250422
2018-07-29 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,2556040,25339204
2018-07-28 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,1956690,26269816
2018-07-27 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,3052620,26587818
2018-07-26 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,3578640,27981130
2018-07-25 00:00:00 +0000 UTC,0.6,0.6,0.5,0.6,4520020,32068230
2018-07-24 00:00:00 +0000 UTC,0.5,0.6,0.5,0.6,5257710,26694328
2018-07-23 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,3855360,27871634
2018-07-22 00:00:00 +0000 UTC,0.5,0.6,0.5,0.6,3089010,0
2018-07-21 00:00:00 +0000 UTC,0.5,0.6,0.5,0.5,2925500,0
2018-07-20 00:00:00 +0000 UTC,0.7,0.7,0.5,0.5,4219340,0
2018-07-19 00:00:00 +0000 UTC,0.7,0.7,0.6,0.7,5663160,0
2018-07-18 00:00:00 +0000 UTC,0.8,0.8,0.7,0.7,8747320,0
2018-07-17 00:00:00 +0000 UTC,0.7,0.8,0.7,0.8,5569430,0
2018-07-16 00:00:00 +0000 UTC,0.7,0.8,0.7,0.7,8180240,0
2018-07-15 00:00:00 +0000 UTC,0.7,0.7,0.6,0.7,5771600,0
2018-07-14 00:00:00 +0000 UTC,0.8,0.8,0.7,0.7,5434870,0
2018-07-13 00:00:00 +0000 UTC,0.7,0.8,0.7,0.8,6943150,0
2018-07-12 00:00:00 +0000 UTC,0.9,0.9,0.7,0.7,16526500,0
2018-07-11 00:00:00 +0000 UTC,1.0,1.0,0.9,0.9,24482400,0
2018-07-10 00:00:00 +0000 UTC,1.1,1.1,1.0,1.0,56840000,0
2018-07-09 00:00:00 +0000 UTC,1.4,1.4,1.1,1.1,88913504,0
2018-07-08 00:00:00 +0000 UTC,1.4,1.4,1.3,1.4,72396400,0
2018-07-07 00:00:00 +0000 UTC,1.5,1.6,1.3,1.4,68249600,0
2018-07-06 00:00:00 +0000 UTC,1.3,2.0,1.3,1.5,23407300,0
2018-07-05 00:00:00 +0000 UTC,1.3,1.5,1.3,1.5,8350360,0
