Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,68461,11789955
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,145280,12045553
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,167973,10690033
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,226276,11305050
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,111440,12260416
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,72046,13478276
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,79879,13659427
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,85549,13605993
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,57520,13467968
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,84120,14315095
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65241,14640581
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,99949,15748187
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,42557,16693600
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47234,16085483
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44051,16374992
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,80423,16861144
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,185373,17639096
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37029,18556924
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28969,18094306
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,72516,19081288
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33367,20175239
2018-08-09 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,29785,19467407
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,91314,21267946
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,34773,22113795
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,27243,22088914
2018-08-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,22568,22049395
2018-08-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,37603,22833065
2018-08-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,92739,21982893
2018-08-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,160235,25790498
2018-08-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,509768,21831516
2018-07-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,95619,22781778
