Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,1.0,1.0,0.9,0.9,2058000,35474704
2018-08-29 00:00:00 +0000 UTC,1.0,1.0,0.9,1.0,2730760,36127335
2018-08-28 00:00:00 +0000 UTC,0.9,1.0,0.9,1.0,2447100,35202236
2018-08-27 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,1955710,33145956
2018-08-26 00:00:00 +0000 UTC,0.9,0.9,0.8,0.9,1936980,32772203
2018-08-25 00:00:00 +0000 UTC,0.8,0.9,0.8,0.9,3156970,29964840
2018-08-24 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,3487950,29321472
2018-08-23 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,3340370,28465019
2018-08-22 00:00:00 +0000 UTC,0.8,0.8,0.7,0.8,2906140,29269424
2018-08-21 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,2555360,29088563
2018-08-20 00:00:00 +0000 UTC,0.8,0.8,0.7,0.8,3159550,28208776
2018-08-19 00:00:00 +0000 UTC,0.8,0.8,0.7,0.8,2750010,27981608
2018-08-18 00:00:00 +0000 UTC,0.9,0.9,0.7,0.8,2327090,32231167
2018-08-17 00:00:00 +0000 UTC,0.7,0.9,0.7,0.9,3836040,26022668
2018-08-16 00:00:00 +0000 UTC,0.8,0.8,0.7,0.7,3317780,28641691
2018-08-15 00:00:00 +0000 UTC,0.8,0.9,0.8,0.8,3637110,30790915
2018-08-14 00:00:00 +0000 UTC,0.9,1.0,0.8,0.8,3846220,33922926
2018-08-13 00:00:00 +0000 UTC,1.0,1.0,0.9,0.9,4312760,35737213
2018-08-12 00:00:00 +0000 UTC,1.0,1.0,0.9,1.0,4381030,38380946
2018-08-11 00:00:00 +0000 UTC,1.0,1.1,1.0,1.0,5841340,37977939
2018-08-10 00:00:00 +0000 UTC,1.3,1.3,1.0,1.0,5736870,48542197
2018-08-09 00:00:00 +0000 UTC,1.3,1.3,1.2,1.3,5710360,47256901
2018-08-08 00:00:00 +0000 UTC,1.4,1.4,1.2,1.3,6699540,52201841
2018-08-07 00:00:00 +0000 UTC,1.5,1.6,1.4,1.4,9314750,56287330
2018-08-06 00:00:00 +0000 UTC,1.5,1.6,1.4,1.5,9482930,57326735
2018-08-05 00:00:00 +0000 UTC,1.6,1.6,1.5,1.5,9077880,57923129
2018-08-04 00:00:00 +0000 UTC,1.6,1.6,1.5,1.6,10540000,59870258
2018-08-03 00:00:00 +0000 UTC,1.7,1.7,1.6,1.6,10410400,62064266
2018-08-02 00:00:00 +0000 UTC,1.7,1.8,1.6,1.7,10961400,63574619
2018-08-01 00:00:00 +0000 UTC,1.7,1.8,1.6,1.7,8835040,64634706
2018-07-31 00:00:00 +0000 UTC,1.9,1.9,1.7,1.7,9966140,70128254
2018-07-30 00:00:00 +0000 UTC,1.9,1.9,1.8,1.9,13226300,72254826
2018-07-29 00:00:00 +0000 UTC,2.0,2.0,1.9,1.9,12902400,73892040
2018-07-28 00:00:00 +0000 UTC,2.0,2.1,1.9,2.0,14787600,75216280
2018-07-27 00:00:00 +0000 UTC,2.0,2.0,1.9,2.0,18773500,74440384
2018-07-26 00:00:00 +0000 UTC,2.1,2.2,2.0,2.0,16264800,80080168
2018-07-25 00:00:00 +0000 UTC,2.1,2.3,2.0,2.2,13324000,70466816
2018-07-24 00:00:00 +0000 UTC,2.1,2.1,2.0,2.1,11665100,71428680
2018-07-23 00:00:00 +0000 UTC,2.2,2.3,2.1,2.1,11637800,75861592
2018-07-22 00:00:00 +0000 UTC,2.3,2.3,2.2,2.3,13278500,76804584
2018-07-21 00:00:00 +0000 UTC,2.3,2.3,2.2,2.3,14422700,76247152
2018-07-20 00:00:00 +0000 UTC,2.3,2.3,2.2,2.2,12869800,77482352
2018-07-19 00:00:00 +0000 UTC,2.4,2.4,2.3,2.3,12525500,79421264
2018-07-18 00:00:00 +0000 UTC,2.4,2.5,2.3,2.4,13363700,78843080
2018-07-17 00:00:00 +0000 UTC,2.0,2.4,2.0,2.4,15769700,68186568
2018-07-16 00:00:00 +0000 UTC,1.9,2.0,1.9,2.0,10605900,63652320
2018-07-15 00:00:00 +0000 UTC,1.9,1.9,1.8,1.9,9265540,62004660
2018-07-14 00:00:00 +0000 UTC,1.9,1.9,1.8,1.9,7570450,62168824
2018-07-13 00:00:00 +0000 UTC,1.9,1.9,1.8,1.9,5132120,61888744
2018-07-12 00:00:00 +0000 UTC,1.9,2.0,1.8,1.8,11625900,64707316
2018-07-11 00:00:00 +0000 UTC,1.8,2.0,1.8,1.9,14029000,60082616
2018-07-10 00:00:00 +0000 UTC,1.9,1.9,1.8,1.8,11970600,63715308
2018-07-09 00:00:00 +0000 UTC,1.9,1.9,1.9,1.9,13214200,63797852
2018-07-08 00:00:00 +0000 UTC,1.8,1.9,1.8,1.9,12079000,61206240
2018-07-07 00:00:00 +0000 UTC,1.8,1.9,1.8,1.8,9823240,59539444
2018-07-06 00:00:00 +0000 UTC,1.9,1.9,1.8,1.8,9865740,62853060
2018-07-05 00:00:00 +0000 UTC,1.9,2.0,1.9,1.9,13155400,63889768
2018-07-04 00:00:00 +0000 UTC,2.0,2.0,1.9,1.9,13943400,66639564
2018-07-03 00:00:00 +0000 UTC,2.0,2.1,2.0,2.0,11271600,67687936
2018-07-02 00:00:00 +0000 UTC,1.9,2.1,1.9,2.0,12235400,63773208
2018-07-01 00:00:00 +0000 UTC,2.1,2.1,1.9,1.9,7618030,69121944
2018-06-30 00:00:00 +0000 UTC,2.0,2.1,2.0,2.1,7615490,60041496
2018-06-29 00:00:00 +0000 UTC,1.9,2.0,1.8,2.0,6183620,56917072
2018-06-28 00:00:00 +0000 UTC,2.0,2.1,1.9,1.9,6819340,58755704
2018-06-27 00:00:00 +0000 UTC,1.8,2.2,1.8,2.0,7086620,52815588
2018-06-26 00:00:00 +0000 UTC,1.9,1.9,1.8,1.8,4749220,56210116
2018-06-25 00:00:00 +0000 UTC,1.9,1.9,1.9,1.9,6199030,57172128
2018-06-24 00:00:00 +0000 UTC,1.9,1.9,1.7,1.9,5881250,56127180
2018-06-23 00:00:00 +0000 UTC,1.9,2.0,1.9,1.9,4077640,56964348
2018-06-22 00:00:00 +0000 UTC,2.2,2.2,1.9,1.9,2543550,64120664
2018-06-21 00:00:00 +0000 UTC,2.4,2.4,2.2,2.2,6999320,71047616
2018-06-20 00:00:00 +0000 UTC,2.4,2.4,2.3,2.4,5532930,72194312
2018-06-19 00:00:00 +0000 UTC,2.5,2.6,2.4,2.4,6425630,74119648
2018-06-18 00:00:00 +0000 UTC,2.4,2.5,2.3,2.5,5199030,70084656
2018-06-17 00:00:00 +0000 UTC,2.4,2.5,2.3,2.4,4674760,72138592
2018-06-16 00:00:00 +0000 UTC,2.4,2.5,2.3,2.4,4917000,71696600
2018-06-15 00:00:00 +0000 UTC,2.6,2.6,2.4,2.4,4973310,77698688
2018-06-14 00:00:00 +0000 UTC,2.2,2.6,2.2,2.6,5715350,66940984
2018-06-13 00:00:00 +0000 UTC,2.5,2.5,2.2,2.3,3880070,73896184
2018-06-12 00:00:00 +0000 UTC,2.7,2.8,2.5,2.5,5905750,81251848
2018-06-11 00:00:00 +0000 UTC,2.9,2.9,2.6,2.7,6751560,86513848
2018-06-10 00:00:00 +0000 UTC,3.5,3.5,2.8,2.9,7030290,103207568
2018-06-09 00:00:00 +0000 UTC,3.7,3.7,3.5,3.5,7434780,109025632
2018-06-08 00:00:00 +0000 UTC,3.8,3.8,3.6,3.7,7738590,111854000
2018-06-07 00:00:00 +0000 UTC,3.8,3.9,3.7,3.8,7963060,112322016
2018-06-06 00:00:00 +0000 UTC,3.7,3.8,3.7,3.8,7816970,111230984
2018-06-05 00:00:00 +0000 UTC,3.4,3.8,3.3,3.7,8265380,101159832
2018-06-04 00:00:00 +0000 UTC,3.6,3.6,3.4,3.4,7225150,106679480
2018-06-03 00:00:00 +0000 UTC,3.6,3.8,3.6,3.6,7840210,108303224
2018-06-02 00:00:00 +0000 UTC,3.4,3.7,3.4,3.6,7188830,101859312
2018-06-01 00:00:00 +0000 UTC,3.5,3.5,3.2,3.4,7467990,102339928
2018-05-31 00:00:00 +0000 UTC,3.4,3.5,3.3,3.4,8903210,100767440
2018-05-30 00:00:00 +0000 UTC,3.0,3.4,3.0,3.4,7092530,90144712
2018-05-29 00:00:00 +0000 UTC,2.9,3.1,2.9,3.0,6254830,86228472
2018-05-28 00:00:00 +0000 UTC,3.0,3.0,2.9,2.9,5895960,88428728
2018-05-27 00:00:00 +0000 UTC,3.0,3.0,2.9,3.0,5784680,89023048
2018-05-26 00:00:00 +0000 UTC,3.0,3.1,2.9,3.0,6065320,88756832
2018-05-25 00:00:00 +0000 UTC,3.0,3.1,2.9,3.0,6096940,89809040
2018-05-24 00:00:00 +0000 UTC,2.9,3.0,2.8,3.0,6209790,86822920
