Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,576,854812
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,107,823260
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,836873
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,913,818087
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,318,780784
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,46,783276
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,599,746732
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36,882270
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,464,953014
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,225,835950
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,271,1037455
2018-08-19 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,778,971940
2018-08-18 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,513,1051447
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55,948494
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,92,955005
2018-08-15 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,638,1060242
2018-08-14 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,329,1196692
2018-08-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,54,1227913
2018-08-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,536,1180566
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1559,1202271
2018-08-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,262,1249239
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,178,1180398
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,376,1171948
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,262,1165307
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,14,1273059
2018-08-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,157,1294245
2018-08-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,218,1168647
2018-08-03 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,1575,1298203
2018-08-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,77,1398247
2018-08-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,208,1523793
2018-07-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,48,1460766
2018-07-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,468,1621923
2018-07-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,74,1432060
2018-07-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,317,1303700
2018-07-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,628,1501946
2018-07-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,493,1423772
2018-07-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,384,1320502
2018-07-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,51,1376941
2018-07-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,536,1252853
2018-07-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,96,1103380
2018-07-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,347,1077724
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,151,1079200
2018-07-19 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,580,1122009
2018-07-18 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,2150,1365414
2018-07-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,476,1413403
2018-07-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,231,1409321
2018-07-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,636,1499412
2018-07-14 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,6162,1211067
2018-07-13 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,2610,891119
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,66,992609
2018-07-11 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,658,981618
2018-07-10 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,4363,1062951
2018-07-09 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,1287,951795
2018-07-08 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,2398,1424446
2018-07-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12168,1383955
2018-07-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8953,2469446
2018-07-05 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,12135,3954757
2018-07-04 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,11784,5160683
2018-07-03 00:00:00 +0000 UTC,0.2,0.7,0.2,0.2,30081,3964552
2018-07-02 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,14093,3317365
2018-07-01 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,285,3462017
2018-06-30 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,5901,2666271
2018-06-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,14423,2244541
2018-06-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2240,2253337
2018-06-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,181,2271964
2018-06-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,689,2342505
2018-06-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5600,1919908
2018-06-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6001,1941752
2018-06-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,10724,1365693
2018-06-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,400,1487039
2018-06-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,33,1551888
2018-06-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3667,1250664
