Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,59,1047388
2018-08-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,125,1106117
2018-08-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,13,1150528
2018-08-27 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,69,1525831
2018-08-26 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,431,1333440
2018-08-25 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,1217,1216765
2018-08-24 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,853,2100476
2018-08-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,187,956131
2018-08-22 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,1372,1776285
2018-08-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,28,913497
2018-08-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2005,1127806
2018-08-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,40,1128525
2018-08-18 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,23,1664136
2018-08-17 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,74,1288954
2018-08-16 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,60,1289510
2018-08-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,25,1098152
2018-08-14 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,193,1328378
2018-08-13 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,46,1105767
2018-08-12 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,204,1563703
2018-08-11 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,180,1952823
2018-08-10 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,248,2487628
2018-08-09 00:00:00 +0000 UTC,0.4,0.4,0.2,0.3,490,3086866
2018-08-08 00:00:00 +0000 UTC,0.2,0.4,0.2,0.4,3157,1838574
