Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1305410,12589052
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1873510,11973966
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1121360,11478554
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1141240,11207137
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1176000,11535121
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1352580,11591869
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1368760,11436704
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1224640,11122188
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1263140,11468774
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1150820,11400281
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1195350,11793082
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1263650,11715965
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1442040,13288813
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1583460,10679012
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1247050,11174090
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1337230,11538042
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1457410,12573238
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1421990,13212608
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1470660,12831378
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1500070,13413715
2018-08-10 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,1581730,14583718
2018-08-09 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,1727510,14541716
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,1803840,16702087
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2193860,18830499
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4197440,18835202
2018-08-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2200650,17405886
2018-08-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1587450,17712823
2018-08-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1949710,16939817
2018-08-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1857130,17576036
2018-08-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2129270,19995804
2018-07-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2601890,21187120
2018-07-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2944370,21580362
2018-07-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2583350,22344280
2018-07-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2540880,21466310
2018-07-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2534810,23120888
2018-07-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2692270,23971690
2018-07-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3035220,23682028
2018-07-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2798810,23691618
2018-07-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2857930,23083622
2018-07-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2865830,23865746
2018-07-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3127640,24233534
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3081300,26766906
2018-07-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3853460,29562238
2018-07-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5224170,28367670
2018-07-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3981430,27235542
2018-07-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3498170,25407950
2018-07-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2910600,24752752
2018-07-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2311350,23695026
