Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,4.6,4.6,4.4,4.5,23,146532
2018-08-29 00:00:00 +0000 UTC,4.6,4.6,4.5,4.6,16,147504
2018-08-28 00:00:00 +0000 UTC,4.5,4.6,4.5,4.6,23,143209
2018-08-27 00:00:00 +0000 UTC,5.3,5.3,4.3,4.5,100,169851
2018-08-26 00:00:00 +0000 UTC,5.0,5.3,4.5,5.3,73,161205
2018-08-25 00:00:00 +0000 UTC,4.3,5.0,4.3,5.0,143,137184
2018-08-24 00:00:00 +0000 UTC,4.1,4.3,4.0,4.3,17,129787
2018-08-23 00:00:00 +0000 UTC,4.0,4.2,4.0,4.0,27,127076
2018-08-22 00:00:00 +0000 UTC,4.2,5.0,4.0,4.0,74,134894
2018-08-21 00:00:00 +0000 UTC,3.9,7.7,3.9,4.2,520,124342
2018-08-20 00:00:00 +0000 UTC,3.5,4.9,3.2,3.9,192,112105
2018-08-19 00:00:00 +0000 UTC,3.1,3.1,3.0,3.0,7,98130
2018-08-18 00:00:00 +0000 UTC,4.6,4.7,3.0,3.1,45,148601
2018-08-17 00:00:00 +0000 UTC,4.3,5.1,2.8,4.6,61,138045
2018-08-16 00:00:00 +0000 UTC,4.4,4.4,4.3,4.3,27,139993
2018-08-15 00:00:00 +0000 UTC,3.9,4.2,3.9,4.1,18,125502
2018-08-14 00:00:00 +0000 UTC,4.7,4.7,3.8,3.9,46,150341
2018-08-13 00:00:00 +0000 UTC,5.0,5.2,4.7,4.7,30,161728
2018-08-12 00:00:00 +0000 UTC,5.0,5.1,5.0,5.1,12,161613
2018-08-10 00:00:00 +0000 UTC,4.9,4.9,4.8,4.8,4,156944
2018-08-09 00:00:00 +0000 UTC,4.8,5.0,4.8,4.9,81,153267
2018-08-08 00:00:00 +0000 UTC,5.8,5.8,4.7,4.8,14,185839
2018-08-07 00:00:00 +0000 UTC,5.5,6.2,5.5,5.8,15,177569
2018-08-06 00:00:00 +0000 UTC,5.3,5.7,5.2,5.5,69,169466
2018-08-05 00:00:00 +0000 UTC,7.0,7.0,5.3,5.3,159,224444
2018-08-04 00:00:00 +0000 UTC,7.4,7.5,7.0,7.0,82,237522
2018-08-03 00:00:00 +0000 UTC,8.6,8.6,7.3,7.4,114,274816
2018-08-02 00:00:00 +0000 UTC,10.2,10.7,9.0,9.1,28,325349
2018-08-01 00:00:00 +0000 UTC,7.6,10.9,7.5,10.2,81,242278
2018-07-31 00:00:00 +0000 UTC,10.6,10.6,10.0,10.1,13,340155
2018-07-30 00:00:00 +0000 UTC,10.4,10.8,10.2,10.7,56,332320
2018-07-29 00:00:00 +0000 UTC,10.4,11.4,9.9,10.4,222,333213
2018-07-28 00:00:00 +0000 UTC,10.6,10.7,10.5,10.7,46,339933
2018-07-27 00:00:00 +0000 UTC,11.3,11.6,10.6,10.6,67,361232
2018-07-26 00:00:00 +0000 UTC,11.7,11.8,11.2,11.3,8,373053
2018-07-25 00:00:00 +0000 UTC,11.6,11.9,11.6,11.8,6,370899
2018-07-24 00:00:00 +0000 UTC,11.5,11.8,10.8,11.8,6,368182
2018-07-23 00:00:00 +0000 UTC,10.8,11.6,10.8,11.5,96,346720
2018-07-22 00:00:00 +0000 UTC,10.5,11.1,10.5,10.8,9,336928
2018-07-21 00:00:00 +0000 UTC,11.8,13.1,10.5,10.5,73,376726
2018-07-20 00:00:00 +0000 UTC,8.4,13.1,8.4,11.8,7,268049
2018-07-19 00:00:00 +0000 UTC,10.6,10.9,8.4,8.4,4,340570
2018-07-18 00:00:00 +0000 UTC,11.8,12.1,10.4,10.7,398,378870
2018-07-17 00:00:00 +0000 UTC,12.8,12.8,10.6,11.8,34,408067
2018-07-16 00:00:00 +0000 UTC,12.6,13.1,12.5,12.8,76,401626
2018-07-15 00:00:00 +0000 UTC,10.7,13.0,10.5,12.5,75,340867
2018-07-14 00:00:00 +0000 UTC,9.1,10.7,9.1,10.7,433,291855
2018-07-13 00:00:00 +0000 UTC,9.1,9.2,9.0,9.2,53,290583
