Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,798620
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,128,847068
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,778222
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3588,954430
2018-08-26 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,98,941444
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,1020298
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,984,942780
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1487,890035
2018-08-22 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,1555,985049
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1977,903579
2018-08-20 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,1873,1083432
2018-08-19 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,2225,1064334
2018-08-18 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,2009,1152611
2018-08-17 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,2209,1102113
2018-08-16 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,2046,1082819
2018-08-15 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,1859,1052963
2018-08-14 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,2243,1162681
2018-08-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,872,1172747
2018-08-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1179,1125693
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,756,1064381
2018-08-10 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,1032,1230021
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1327,1185899
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2094,1220522
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1782,1246170
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1189,1298687
2018-08-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1840,1346402
2018-08-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1567,1424701
2018-08-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3061,1495513
2018-08-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1861,1523309
2018-08-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,743,1601362
