Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,127812,4729921
2018-08-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,43918,4678680
2018-08-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,74004,4193209
2018-08-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,92914,3847334
2018-08-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,137139,3833273
2018-08-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,188084,3888030
2018-08-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,136596,3711079
2018-08-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,147406,3733870
2018-08-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,144658,3806206
2018-08-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,112213,3988058
2018-08-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,72133,4714451
2018-08-19 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,73205,4403260
2018-08-18 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,22010,4710763
2018-08-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,13051,3176848
2018-08-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,83385,3404692
2018-08-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,25619,2995372
2018-08-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,81011,2719042
2018-08-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,151406,3296676
2018-08-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,115016,3418921
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,157379,4821211
2018-08-10 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,135656,5844141
2018-08-09 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,124056,5271720
2018-08-08 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,92734,5763865
2018-08-07 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,76992,6380747
2018-08-06 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,174463,6404058
2018-08-05 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,165035,6314322
2018-08-04 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,85361,6569451
2018-08-03 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,192074,6635979
2018-08-02 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,247167,7347142
2018-08-01 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,254198,7428485
2018-07-31 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,312687,7926208
2018-07-30 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,307057,8528532
2018-07-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,262398,8808179
2018-07-28 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,189752,8929684
2018-07-27 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,217158,9697355
2018-07-26 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,206149,10348959
2018-07-25 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,197490,10805032
2018-07-24 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,173110,10381124
2018-07-23 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,343679,11012155
2018-07-22 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,299191,11649950
2018-07-21 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,202133,10991941
2018-07-20 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,300370,12354112
2018-07-19 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,309636,13336063
2018-07-18 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,432422,15485083
2018-07-17 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,546104,13878542
2018-07-16 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,341640,15738326
2018-07-15 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,215067,15603440
2018-07-14 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,298907,14535871
2018-07-13 00:00:00 +0000 UTC,0.4,0.5,0.4,0.4,363030,15406657
2018-07-12 00:00:00 +0000 UTC,0.4,0.5,0.4,0.4,362603,14572615
2018-07-11 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,429694,13386082
2018-07-10 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,264149,14953625
2018-07-09 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,275030,14371503
2018-07-08 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,367882,14341413
2018-07-07 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,336598,13985127
2018-07-06 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,333495,14288853
2018-07-05 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,373392,12944357
2018-07-04 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,584942,12667285
2018-07-03 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,377978,11990134
2018-07-02 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,166355,11063069
2018-07-01 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,301880,11084751
2018-06-30 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,191952,10073247
2018-06-29 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,359804,9814315
2018-06-28 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,234642,10449783
2018-06-27 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,157351,10102310
2018-06-26 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,102172,12351099
2018-06-25 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,161285,10663826
2018-06-24 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,240167,13520907
2018-06-23 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,262812,13147726
2018-06-22 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,272676,14472023
2018-06-21 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,311910,15731005
2018-06-20 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,379335,16291779
2018-06-19 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,388109,14818966
2018-06-18 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,281708,12893391
2018-06-17 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,271753,13347064
2018-06-16 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,295407,13116950
2018-06-15 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,230632,14212088
2018-06-14 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,294983,15341021
2018-06-13 00:00:00 +0000 UTC,0.4,0.5,0.4,0.4,372597,15930400
2018-06-12 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,450004,17160786
2018-06-11 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,455472,17714346
2018-06-10 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,459460,21070566
2018-06-09 00:00:00 +0000 UTC,0.6,0.7,0.6,0.6,576385,22846910
2018-06-08 00:00:00 +0000 UTC,0.7,0.7,0.6,0.6,442443,24042828
2018-06-07 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,505023,24630676
2018-06-06 00:00:00 +0000 UTC,0.7,0.7,0.6,0.7,757720,25549602
2018-06-05 00:00:00 +0000 UTC,0.7,0.8,0.7,0.7,556384,23984142
2018-06-04 00:00:00 +0000 UTC,0.6,0.8,0.6,0.7,734259,22909554
2018-06-03 00:00:00 +0000 UTC,0.6,0.7,0.6,0.6,710249,22156966
2018-06-02 00:00:00 +0000 UTC,0.7,0.7,0.6,0.6,988836,24294684
2018-06-01 00:00:00 +0000 UTC,0.6,0.7,0.6,0.7,729184,20471342
2018-05-31 00:00:00 +0000 UTC,0.5,0.6,0.5,0.6,343093,19130678
2018-05-30 00:00:00 +0000 UTC,0.5,0.6,0.5,0.5,179563,19529752
2018-05-29 00:00:00 +0000 UTC,0.5,0.6,0.5,0.5,531476,17967564
2018-05-28 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,405364,17917670
2018-05-27 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,244790,19604168
2018-05-26 00:00:00 +0000 UTC,0.5,0.6,0.5,0.5,538706,19072758
2018-05-25 00:00:00 +0000 UTC,0.5,0.6,0.5,0.5,517412,19103222
2018-05-24 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,317625,16986344
2018-05-23 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,421514,19417020
2018-05-22 00:00:00 +0000 UTC,0.7,0.7,0.5,0.5,419168,24232516
