Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25971,174976
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20872,181471
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26127,182717
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23609,167390
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25317,141202
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20824,162732
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22582,112775
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22162,183363
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16819,171708
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26979,206109
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19513,242072
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22469,206237
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18089,230693
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23778,216468
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25066,255873
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23357,254408
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18085,268440
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25038,259329
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21872,279787
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17954,248696
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22620,307894
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23260,300519
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22745,331309
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,23922,351947
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,25254,353135
2018-08-05 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,25337,319205
2018-08-04 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,24303,343908
2018-08-03 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,22723,338562
2018-08-02 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,22597,359424
2018-08-01 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,21663,374226
2018-07-31 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,27760,390666
2018-07-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,27481,414477
2018-07-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,30906,367909
2018-07-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,29189,390253
2018-07-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,30118,346089
2018-07-26 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,26205,393078
2018-07-25 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,22565,321319
2018-07-24 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,34629,391238
2018-07-23 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,29244,358296
2018-07-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,25631,367752
2018-07-21 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,28749,348623
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,22375,348243
2018-07-19 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,21828,346568
2018-07-18 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,22561,373668
2018-07-17 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,22003,311014
2018-07-16 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,24044,329579
2018-07-15 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,26215,342412
2018-07-14 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,20240,350431
2018-07-13 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,22171,356296
2018-07-12 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,23680,350108
2018-07-11 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,21892,337171
2018-07-10 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,26600,402701
2018-07-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,22380,448982
2018-07-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,24281,419218
2018-07-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,26863,411110
2018-07-06 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,23062,458444
2018-07-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,23761,447985
2018-07-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,21386,428528
2018-07-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,25340,407281
2018-07-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,23213,429265
2018-07-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,23677,457786
2018-06-30 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,25327,373441
2018-06-29 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,15729,410204
2018-06-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,15406,419757
2018-06-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,25035,429916
2018-06-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,20230,398888
2018-06-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,19451,427129
2018-06-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,25158,406047
2018-06-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,21147,452017
2018-06-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,19879,446615
2018-06-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,23092,417895
2018-06-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,19878,818837
2018-06-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,21876,418370
2018-06-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,22551,437983
2018-06-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,22017,441883
2018-06-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,21930,432085
2018-06-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,26250,449548
2018-06-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,21838,372130
2018-06-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,21239,401826
2018-06-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,21594,369011
2018-06-11 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,29510,363790
2018-06-10 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,21926,458882
2018-06-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,26997,446565
2018-06-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,26402,450434
2018-06-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,23946,459361
2018-06-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,18390,443175
2018-06-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,17644,351715
2018-06-04 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,15552,473711
2018-06-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,20583,500288
2018-06-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,15971,504123
2018-06-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,17614,551584
2018-05-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,15113,526216
2018-05-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,13741,541593
2018-05-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,16731,554896
2018-05-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,15516,589935
2018-05-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,16907,539296
2018-05-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,14490,534472
