Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,44812
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,45109
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38,29198
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,139,28454
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23,35846
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24,35509
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,34675
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,27004
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,79,41253
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,33289
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,55006
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38,33945
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53,41921
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,66,33497
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,33655
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,39419
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27,38521
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,40224
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50,53604
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,52230
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26,55464
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,46625
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40,49916
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,51495
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,990,37380
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,44506
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,31477
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38,39977
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,40012
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,49278
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,51033
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,34653
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,42141
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,43316
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,89,42966
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,32725
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,47044
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,47091
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,38878
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,31688
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,78,31264
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,77,46594
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,42829
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,33733
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38,33213
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,33061
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49,33092
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,181,33872
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,186,33497
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,155,42382
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,119,49776
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,218,64489
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,408,48976
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,41573
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,163,41902
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,58,34458
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,41830
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,141,33643
