Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,11.3,11.3,11.3,11.3,3,22645
2018-08-29 00:00:00 +0000 UTC,11.3,11.4,11.2,11.3,10,22795
2018-08-28 00:00:00 +0000 UTC,11.4,11.4,11.3,11.3,5,22824
2018-08-27 00:00:00 +0000 UTC,10.8,10.8,10.7,10.8,12,21597
2018-08-26 00:00:00 +0000 UTC,10.8,10.8,10.6,10.8,12,21666
2018-08-20 00:00:00 +0000 UTC,10.4,10.5,10.3,10.4,3,20910
2018-08-19 00:00:00 +0000 UTC,10.2,10.5,10.2,10.4,3,20546
2018-08-18 00:00:00 +0000 UTC,10.6,10.6,10.4,10.4,20,21250
2018-08-17 00:00:00 +0000 UTC,10.1,10.6,10.1,10.6,53,20376
2018-08-16 00:00:00 +0000 UTC,10.3,10.3,10.1,10.1,32,20681
2018-08-13 00:00:00 +0000 UTC,10.8,10.8,10.7,10.8,45,21597
2018-08-12 00:00:00 +0000 UTC,10.0,10.9,9.9,10.8,53,20108
2018-08-11 00:00:00 +0000 UTC,10.2,10.3,10.0,10.0,27,20561
2018-08-09 00:00:00 +0000 UTC,10.1,10.4,10.0,10.3,10,20195
2018-08-08 00:00:00 +0000 UTC,10.0,10.2,9.9,10.0,10,20122
2018-08-03 00:00:00 +0000 UTC,12.1,12.1,11.8,12.1,18,24393
2018-08-02 00:00:00 +0000 UTC,12.1,12.2,12.1,12.1,18,24356
2018-07-31 00:00:00 +0000 UTC,13.1,13.1,12.9,13.0,91,26284
2018-07-30 00:00:00 +0000 UTC,13.2,13.2,12.6,13.1,92,26421
2018-07-29 00:00:00 +0000 UTC,13.1,13.2,13.1,13.1,24,26304
2018-07-27 00:00:00 +0000 UTC,13.5,13.5,13.4,13.5,10,27151
2018-07-26 00:00:00 +0000 UTC,13.1,14.1,13.1,13.5,10,26267
2018-07-25 00:00:00 +0000 UTC,13.2,13.6,12.9,13.1,8,26606
2018-07-24 00:00:00 +0000 UTC,13.1,13.6,13.0,13.5,1,26355
2018-07-23 00:00:00 +0000 UTC,12.6,13.2,12.6,13.1,1,25258
2018-07-22 00:00:00 +0000 UTC,11.8,12.8,11.8,12.6,3,23797
2018-07-21 00:00:00 +0000 UTC,11.7,11.9,11.6,11.8,16,23575
2018-07-20 00:00:00 +0000 UTC,14.7,15.0,11.7,11.7,19,29498
2018-07-19 00:00:00 +0000 UTC,14.5,14.8,14.3,14.7,5,29103
2018-07-18 00:00:00 +0000 UTC,14.4,14.9,14.3,14.5,1,28916
2018-07-17 00:00:00 +0000 UTC,13.3,14.6,13.1,14.4,5,26715
2018-07-16 00:00:00 +0000 UTC,12.1,13.3,12.1,13.3,426,24291
2018-07-15 00:00:00 +0000 UTC,11.3,12.2,11.2,12.1,6,22658
2018-07-14 00:00:00 +0000 UTC,11.2,11.4,11.2,11.3,3,22554
2018-07-13 00:00:00 +0000 UTC,11.2,11.4,11.1,11.3,16,22570
2018-07-12 00:00:00 +0000 UTC,10.6,11.2,10.5,11.2,13,21244
2018-07-10 00:00:00 +0000 UTC,11.3,11.3,10.8,10.9,1,22755
2018-07-09 00:00:00 +0000 UTC,11.4,11.5,11.3,11.3,1,22907
2018-07-08 00:00:00 +0000 UTC,11.5,11.5,11.4,11.4,1,23063
2018-07-07 00:00:00 +0000 UTC,11.9,11.9,11.8,11.9,3,23863
2018-07-06 00:00:00 +0000 UTC,11.8,11.9,11.6,11.9,3,23631
2018-07-05 00:00:00 +0000 UTC,11.9,12.0,11.7,11.8,3,23819
2018-07-04 00:00:00 +0000 UTC,11.1,11.9,10.9,11.8,115,22201
2018-07-03 00:00:00 +0000 UTC,11.1,11.1,11.0,11.1,91,22296
2018-07-02 00:00:00 +0000 UTC,10.8,11.3,10.7,11.2,2,21676
2018-07-01 00:00:00 +0000 UTC,10.9,10.9,10.7,10.8,2,21815
2018-06-30 00:00:00 +0000 UTC,10.8,10.9,10.8,10.9,2,21724
2018-06-29 00:00:00 +0000 UTC,10.0,10.1,9.9,10.0,1,20043
2018-06-28 00:00:00 +0000 UTC,10.4,10.5,9.9,10.0,1,20949
2018-06-27 00:00:00 +0000 UTC,10.4,10.5,10.4,10.4,1,20898
2018-06-21 00:00:00 +0000 UTC,10.8,10.8,10.7,10.8,6,21703
2018-06-20 00:00:00 +0000 UTC,10.8,10.9,10.5,10.8,6,21715
2018-06-19 00:00:00 +0000 UTC,12.1,12.2,10.8,10.8,1,24336
2018-06-18 00:00:00 +0000 UTC,11.7,12.2,11.6,12.1,7,23423
2018-06-17 00:00:00 +0000 UTC,10.4,11.8,10.4,11.7,3,20984
2018-06-16 00:00:00 +0000 UTC,10.3,10.5,10.2,10.4,1,20644
2018-06-15 00:00:00 +0000 UTC,13.1,13.1,10.3,10.3,21,26227
2018-06-14 00:00:00 +0000 UTC,12.4,13.1,12.4,13.1,101,24946
2018-06-13 00:00:00 +0000 UTC,11.8,13.0,11.8,12.4,182,23806
2018-06-12 00:00:00 +0000 UTC,11.0,12.2,10.8,11.8,8,22140
2018-06-11 00:00:00 +0000 UTC,10.6,11.1,10.4,11.0,41,21238
2018-06-10 00:00:00 +0000 UTC,9.2,11.4,8.8,10.6,10,18473
2018-06-09 00:00:00 +0000 UTC,9.2,15.0,9.2,9.2,119,18398
2018-06-08 00:00:00 +0000 UTC,9.2,9.2,9.1,9.2,31,18419
2018-06-07 00:00:00 +0000 UTC,9.2,9.3,9.2,9.2,0,18469
