Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,216,111190
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,101,107300
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,291,85545
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,77,77390
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27,70040
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,181,75314
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,107,66798
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,521,98268
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,54,97513
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28,106342
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,91,94879
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25,96845
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,900,110470
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,133,110631
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,113,98628
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,77,86323
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,351,90367
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,210,115930
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,109036
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,947,129812
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,126,131098
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,115,117913
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,80,123602
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,79,146624
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,129,163049
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,439,133030
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,91,145275
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,235,139893
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,125,167801
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,479,189021
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,129,198319
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,144,195090
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,188,217423
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,134,225242
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,494,208978
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,467,246152
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,785,283085
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,92,247359
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37,246118
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,256337
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,252756
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,342,259150
