Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25,19083
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,105,20642
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,100,19973
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,19605
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24,19617
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,19775
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,20862
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,67,18907
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,62,18924
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48,19599
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,20031
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,22015
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27,22604
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39,19373
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,61,19594
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,19034
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30,20524
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31,20934
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,21349
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,21017
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39,22318
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,21295
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,239,25073
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,249,32666
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,122,41761
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,252,24177
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,24897
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,25974
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,26616
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40,26893
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,54,28399
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,28675
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25,28869
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35,28654
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15,28080
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,28250
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,389,29178
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,101,26491
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,94,25822
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19,25775
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,67,24517
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,88,29072
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24,29060
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,715,30519
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,24128
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22,23561
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19,29402
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,29374
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,29401
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,26496
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,25070
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,62,28691
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,41,28584
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49,28492
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,27352
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34,27546
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,27871
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,80,27368
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,225,27779
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,182,26990
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,271,26910
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,60,27547
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,67,20665
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38,20325
