Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,346527
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,133,349311
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,69,316525
2018-08-27 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,39,414468
2018-08-26 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,138,292663
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,84,345747
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28,341010
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49,355641
2018-08-22 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,83,419158
2018-08-21 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,74,326824
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,119,337986
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50,336554
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33,356633
2018-08-17 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,41,325942
2018-08-16 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,220,411886
2018-08-15 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,105,461159
2018-08-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,83,476851
2018-08-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,343,563652
2018-08-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,151,558472
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,184,560723
2018-08-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,33,595377
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,84,562131
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,125,635272
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,43,701223
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,50,712551
2018-08-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,849,671136
2018-08-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,324,753211
2018-08-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,109,782029
2018-08-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,260,746841
2018-08-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,128,747879
2018-07-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,58,736456
2018-07-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,49,736548
2018-07-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,382,912920
2018-07-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,44,912402
2018-07-27 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,447,767660
2018-07-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,65,785350
2018-07-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,141,912792
2018-07-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12,846354
2018-07-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,17,808285
2018-07-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,34,799676
2018-07-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,393,855850
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8,871878
2018-07-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,31,909898
2018-07-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,84,924048
2018-07-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,109,828825
2018-07-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,82,919236
2018-07-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,446,742768
2018-07-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,211,750400
2018-07-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,194,755181
2018-07-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,133,770061
2018-07-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,86,793820
2018-07-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,51,874970
2018-07-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,668,957366
2018-07-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,54,931556
2018-07-07 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,298,905635
2018-07-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,195,849319
2018-07-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,455,866213
2018-07-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,724,867268
2018-07-03 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,897,1024995
2018-07-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,105,1070108
2018-07-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,49,1064607
