Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,753319,4326486
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,606146,4406044
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,695218,4497241
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,681783,4343589
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,673058,4489922
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,724634,4868102
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,653574,4884803
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,719238,5787267
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,824519,4790651
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,765340,5051488
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,617230,5256067
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,552245,6527810
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,822914,8012220
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1327250,5972156
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1145620,5174015
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1142560,5291924
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1404260,5616531
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1341130,6839006
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1064550,7822403
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1658370,7276342
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1196350,10871509
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1754070,6301273
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1069920,10139686
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1673330,7659789
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1143350,8101149
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1254970,8644341
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1480630,9737975
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1612980,9565324
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1296060,10257226
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1378700,10150063
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1348390,10521805
