Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,499,1859728
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,572,1894144
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1211,2072699
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,942,2175678
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2061,2314389
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,278,2288483
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,615,2278969
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,287,2179352
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,145,2215598
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,315,2129339
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,740,2416264
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,334,2471024
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,368,2530875
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,139,2430636
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,411,2413568
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,499,2422036
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,444,2652355
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1587,2743182
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4674,2687787
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1450,2683687
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,951,2792095
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2621,2655752
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,351,2851119
2018-08-07 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,407,2860527
