Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,676999,13729116
2018-08-29 00:00:00 +0000 UTC,0.6,0.7,0.6,0.7,1012980,12477607
2018-08-28 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,852880,11581165
2018-08-27 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,703169,11927471
2018-08-26 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,686023,11584055
2018-08-25 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,1080700,11374367
2018-08-24 00:00:00 +0000 UTC,0.5,0.6,0.5,0.6,1421500,9500137
2018-08-23 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,655432,8960920
2018-08-22 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,832361,9573633
2018-08-21 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,946770,8239967
2018-08-20 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,709369,8847082
2018-08-19 00:00:00 +0000 UTC,0.4,0.5,0.4,0.4,1052590,7486643
2018-08-18 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,915729,8510739
2018-08-17 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,880123,6851251
2018-08-16 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,734679,6703343
2018-08-15 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,822627,6748858
2018-08-14 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,1073140,7045927
2018-08-13 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,809103,6882287
2018-08-12 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,747071,7152477
2018-08-11 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,739825,8274155
2018-08-10 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,693424,9168102
2018-08-09 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,673853,8862011
2018-08-08 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,709407,9517194
2018-08-07 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,588476,9831328
2018-08-06 00:00:00 +0000 UTC,0.5,0.6,0.5,0.5,651129,9924462
2018-08-05 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,598863,9987527
2018-08-04 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,699945,10414290
2018-08-03 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,742757,10809982
2018-08-02 00:00:00 +0000 UTC,0.6,0.6,0.5,0.6,656982,11154385
2018-08-01 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,671617,11444498
2018-07-31 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,817208,11889238
2018-07-30 00:00:00 +0000 UTC,0.7,0.7,0.6,0.6,654333,12791362
2018-07-29 00:00:00 +0000 UTC,0.6,0.7,0.6,0.7,631633,12556305
2018-07-28 00:00:00 +0000 UTC,0.7,0.7,0.6,0.6,714838,12811402
2018-07-27 00:00:00 +0000 UTC,0.6,0.7,0.6,0.7,752631,12493984
2018-07-26 00:00:00 +0000 UTC,0.7,0.7,0.6,0.6,707461,13173222
2018-07-25 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,955557,13493271
2018-07-24 00:00:00 +0000 UTC,0.6,0.8,0.6,0.7,2557830,12239318
2018-07-23 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,1117180,11231002
2018-07-22 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,620116,11274460
2018-07-21 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,704069,11202795
2018-07-20 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,809154,11630391
2018-07-19 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,798023,11145361
2018-07-18 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,764437,11395100
2018-07-17 00:00:00 +0000 UTC,0.5,0.6,0.5,0.6,1024470,10467517
2018-07-16 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,724969,9685953
2018-07-15 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,726077,9531454
2018-07-14 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,682652,9502423
2018-07-13 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,711238,9497045
2018-07-12 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,717076,9844535
2018-07-11 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,644654,9475767
2018-07-10 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,274136,10656798
2018-07-09 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,913675,11121630
2018-07-08 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,665479,11054244
2018-07-07 00:00:00 +0000 UTC,0.6,0.6,0.5,0.6,669836,10907812
2018-07-06 00:00:00 +0000 UTC,0.6,0.6,0.5,0.6,1437600,11103670
2018-07-05 00:00:00 +0000 UTC,0.5,0.6,0.5,0.6,1391400,10594260
2018-07-04 00:00:00 +0000 UTC,0.5,0.6,0.5,0.5,142055,10423940
2018-07-03 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,983900,11137156
2018-07-02 00:00:00 +0000 UTC,0.5,0.6,0.5,0.6,1177100,10288109
2018-07-01 00:00:00 +0000 UTC,0.5,0.6,0.5,0.5,1477490,9820254
2018-06-30 00:00:00 +0000 UTC,0.4,0.6,0.4,0.5,2119730,8345674
2018-06-29 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,1913340,7568566
2018-06-28 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,1674650,7734764
